,symbol,open_time_utc,open,high,low,close,volume,close_time_ms,num_trades
2023-03-01 00:00:00+00:00,BTCUSDC,2023-03-01 00:00:00,23143.82,23152.65,23140.02,23152.65,0.26395,1677628859999,9
2023-03-01 00:01:00+00:00,BTCUSDC,2023-03-01 00:01:00,23152.65,23152.65,23152.65,23152.65,0.0,1677628919999,0
2023-03-01 00:02:00+00:00,BTCUSDC,2023-03-01 00:02:00,23152.65,23152.65,23152.65,23152.65,0.0,1677628979999,0
2023-03-01 00:03:00+00:00,BTCUSDC,2023-03-01 00:03:00,23152.65,23152.65,23152.65,23152.65,0.0,1677629039999,0
2023-03-01 00:04:00+00:00,BTCUSDC,2023-03-01 00:04:00,23171.83,23171.83,23171.83,23171.83,0.02,1677629099999,1
2023-03-01 00:05:00+00:00,BTCUSDC,2023-03-01 00:05:00,23178.51,23178.51,23178.51,23178.51,0.000454,1677629159999,1
2023-03-01 00:06:00+00:00,BTCUSDC,2023-03-01 00:06:00,23178.51,23178.51,23178.51,23178.51,0.0,1677629219999,0
2023-03-01 00:07:00+00:00,BTCUSDC,2023-03-01 00:07:00,23178.51,23178.51,23178.51,23178.51,0.0,1677629279999,0
2023-03-01 00:08:00+00:00,BTCUSDC,2023-03-01 00:08:00,23178.51,23178.51,23178.51,23178.51,0.0,1677629339999,0
2023-03-01 00:09:00+00:00,BTCUSDC,2023-03-01 00:09:00,23134.36,23134.44,23134.36,23134.44,0.030335,1677629399999,3
2023-03-01 00:10:00+00:00,BTCUSDC,2023-03-01 00:10:00,23133.69,23133.69,23133.69,23133.69,0.026,1677629459999,1
2023-03-01 00:11:00+00:00,BTCUSDC,2023-03-01 00:11:00,23133.69,23133.69,23133.69,23133.69,0.0,1677629519999,0
2023-03-01 00:12:00+00:00,BTCUSDC,2023-03-01 00:12:00,23146.53,23146.53,23146.53,23146.53,0.00295,1677629579999,1
2023-03-01 00:13:00+00:00,BTCUSDC,2023-03-01 00:13:00,23146.53,23146.53,23146.53,23146.53,0.0,1677629639999,0
2023-03-01 00:14:00+00:00,BTCUSDC,2023-03-01 00:14:00,23163.04,23163.04,23163.04,23163.04,0.026,1677629699999,1
2023-03-01 00:15:00+00:00,BTCUSDC,2023-03-01 00:15:00,23163.04,23163.04,23163.04,23163.04,0.0,1677629759999,0
2023-03-01 00:16:00+00:00,BTCUSDC,2023-03-01 00:16:00,23163.04,23163.04,23163.04,23163.04,0.0,1677629819999,0
