,symbol,open_time_utc,open,high,low,close,volume,close_time_ms,num_trades
2023-03-01 00:00:00+00:00,USDCUSD,2023-03-01 00:00:00,1.0,1.0,0.9999,0.9999,95.11,1677628859999,6
2023-03-01 00:01:00+00:00,USDCUSD,2023-03-01 00:01:00,1.0,1.0,0.9999,0.9999,88.31,1677628919999,6
2023-03-01 00:02:00+00:00,USDCUSD,2023-03-01 00:02:00,1.0,1.0,0.9999,0.9999,92.26,1677628979999,6
2023-03-01 00:03:00+00:00,USDCUSD,2023-03-01 00:03:00,1.0,1.0,0.9999,0.9999,86.8,1677629039999,6
2023-03-01 00:04:00+00:00,USDCUSD,2023-03-01 00:04:00,1.0,1.0,0.9999,0.9999,89.13,1677629099999,6
2023-03-01 00:05:00+00:00,USDCUSD,2023-03-01 00:05:00,1.0,1.0,0.9999,0.9999,91.83,1677629159999,6
2023-03-01 00:06:00+00:00,USDCUSD,2023-03-01 00:06:00,1.0,1.0,0.9999,0.9999,87.48,1677629219999,6
2023-03-01 00:07:00+00:00,USDCUSD,2023-03-01 00:07:00,1.0,1.0,0.9999,0.9999,81.52,1677629279999,6
2023-03-01 00:08:00+00:00,USDCUSD,2023-03-01 00:08:00,1.0,1.0,0.9999,1.0,374.42,1677629339999,6
2023-03-01 00:09:00+00:00,USDCUSD,2023-03-01 00:09:00,0.9999,1.0,0.9999,0.9999,14631.49,1677629399999,10
2023-03-01 00:10:00+00:00,USDCUSD,2023-03-01 00:10:00,1.0,1.0,0.9999,1.0,595.44,1677629459999,10
2023-03-01 00:11:00+00:00,USDCUSD,2023-03-01 00:11:00,1.0,1.0,0.9999,1.0,511.26,1677629519999,9
2023-03-01 00:12:00+00:00,USDCUSD,2023-03-01 00:12:00,1.0,1.0003,0.9999,1.0,640.29,1677629579999,13
2023-03-01 00:13:00+00:00,USDCUSD,2023-03-01 00:13:00,1.0,1.0,0.9999,0.9999,547.27,1677629639999,7
2023-03-01 00:14:00+00:00,USDCUSD,2023-03-01 00:14:00,1.0,1.0,0.9999,1.0,288.04,1677629699999,10
2023-03-01 00:15:00+00:00,USDCUSD,2023-03-01 00:15:00,1.0,1.0,0.9999,1.0,408.54,1677629759999,10
2023-03-01 00:16:00+00:00,USDCUSD,2023-03-01 00:16:00,1.0,1.0,0.9999,0.9999,256.73,1677629819999,9
2023-03-01 00:17:00+00:00,USDCUSD,2023-03-01 00:17:00,1.0,1.0,0.9997,1.0,785.19,1677629879999,13
2023-03-01 00:18:00+00:00,USDCUSD,2023-03-01 00:18:00,1.0,1.0,0.9999,0.9999,436.55,1677629939999,11
2023-03-01 00:19:00+00:00,USDCUSD,2023-03-01 00:19:00,1.0,1.0,0.9999,1.0,253.69,1677629999999,9
2023-03-01 00:20:00+00:00,USDCUSD,2023-03-01 00:20:00,1.0,1.0,0.9999,1.0,255.99,1677630059999,9
2023-03-01 00:21:00+00:00,USDCUSD,2023-03-01 00:21:00,1.0,1.0,0.9999,1.0,218.31,1677630119999,8
2023-03-01 00:22:00+00:00,USDCUSD,2023-03-01 00:22:00,0.9999,1.0,0.9999,0.9999,240.13,1677630179999,11
2023-03-01 00:23:00+00:00,USDCUSD,2023-03-01 00:23:00,1.0,1.0,0.9999,1.0,209.95,1677630239999,9
2023-03-01 00:24:00+00:00,USDCUSD,2023-03-01 00:24:00,1.0,1.0,0.9999,1.0,213.48,1677630299999,10
2023-03-01 00:25:00+00:00,USDCUSD,2023-03-01 00:25:00,1.0,1.0,0.9999,1.0,209.96,1677630359999,10
2023-03-01 00:26:00+00:00,USDCUSD,2023-03-01 00:26:00,1.0,1.0,0.9999,1.0,207.21,1677630419999,9
2023-03-01 00:27:00+00:00,USDCUSD,2023-03-01 00:27:00,1.0,1.0,0.9999,0.9999,193.4,1677630479999,8
2023-03-01 00:28:00+00:00,USDCUSD,2023-03-01 00:28:00,1.0,1.0,0.9999,1.0,200.12,1677630539999,10
2023-03-01 00:29:00+00:00,USDCUSD,2023-03-01 00:29:00,1.0,1.0,0.9999,1.0,201.13,1677630599999,10
2023-03-01 00:30:00+00:00,USDCUSD,2023-03-01 00:30:00,1.0,1.0,0.9999,1.0,374.21,1677630659999,9
2023-03-01 00:31:00+00:00,USDCUSD,2023-03-01 00:31:00,1.0,1.0,0.9999,1.0,205.34,1677630719999,10
2023-03-01 00:32:00+00:00,USDCUSD,2023-03-01 00:32:00,0.9999,1.0,0.9999,0.9999,225.21,1677630779999,11
2023-03-01 00:33:00+00:00,USDCUSD,2023-03-01 00:33:00,1.0,1.0,0.9999,1.0,230.72,1677630839999,11
2023-03-01 00:34:00+00:00,USDCUSD,2023-03-01 00:34:00,1.0,1.0,0.9999,1.0,1280.13,1677630899999,13
2023-03-01 00:35:00+00:00,USDCUSD,2023-03-01 00:35:00,1.0,1.0,0.9999,1.0,215.85,1677630959999,9
2023-03-01 00:36:00+00:00,USDCUSD,2023-03-01 00:36:00,1.0,1.0,0.9999,1.0,253.26,1677631019999,8
2023-03-01 00:37:00+00:00,USDCUSD,2023-03-01 00:37:00,0.9999,1.0,0.9999,1.0,229.47,1677631079999,10
