,symbol,open_time_utc,open,high,low,close,volume,close_time_ms,num_trades
2023-03-01 00:00:00+00:00,USDTUSD,2023-03-01 00:00:00,1.0,1.0,1.0,1.0,47.19,1677628859999,1
2023-03-01 00:01:00+00:00,USDTUSD,2023-03-01 00:01:00,1.0001,1.0001,0.9999,1.0,3398.05,1677628919999,10
2023-03-01 00:02:00+00:00,USDTUSD,2023-03-01 00:02:00,1.0001,1.0001,1.0001,1.0001,19.95,1677628979999,1
2023-03-01 00:03:00+00:00,USDTUSD,2023-03-01 00:03:00,1.0001,1.0001,1.0001,1.0001,199.98,1677629039999,1
2023-03-01 00:04:00+00:00,USDTUSD,2023-03-01 00:04:00,1.0,1.0,1.0,1.0,146.0,1677629099999,2
2023-03-01 00:05:00+00:00,USDTUSD,2023-03-01 00:05:00,1.0001,1.0001,1.0001,1.0001,67.18,1677629159999,1
2023-03-01 00:06:00+00:00,USDTUSD,2023-03-01 00:06:00,1.0001,1.0001,1.0001,1.0001,1991.47,1677629219999,3
2023-03-01 00:07:00+00:00,USDTUSD,2023-03-01 00:07:00,1.0001,1.0001,1.0001,1.0001,2678.46,1677629279999,2
2023-03-01 00:08:00+00:00,USDTUSD,2023-03-01 00:08:00,1.0001,1.0001,1.0001,1.0001,22620.64,1677629339999,2
2023-03-01 00:09:00+00:00,USDTUSD,2023-03-01 00:09:00,1.0,1.0001,1.0,1.0001,674.69,1677629399999,3
2023-03-01 00:10:00+00:00,USDTUSD,2023-03-01 00:10:00,1.0001,1.0001,1.0001,1.0001,11460.87,1677629459999,8
2023-03-01 00:11:00+00:00,USDTUSD,2023-03-01 00:11:00,1.0001,1.0001,1.0001,1.0001,299.2,1677629519999,2
2023-03-01 00:12:00+00:00,USDTUSD,2023-03-01 00:12:00,1.0001,1.0001,1.0,1.0,4975.7,1677629579999,6
2023-03-01 00:13:00+00:00,USDTUSD,2023-03-01 00:13:00,1.0,1.0,1.0,1.0,146.57,1677629639999,1
2023-03-01 00:14:00+00:00,USDTUSD,2023-03-01 00:14:00,1.0,1.0001,1.0,1.0001,166.37,1677629699999,2
2023-03-01 00:15:00+00:00,USDTUSD,2023-03-01 00:15:00,1.0,1.0001,1.0,1.0001,250.81,1677629759999,2
2023-03-01 00:16:00+00:00,USDTUSD,2023-03-01 00:16:00,1.0,1.0001,0.9999,1.0,3447.32,1677629819999,8
2023-03-01 00:17:00+00:00,USDTUSD,2023-03-01 00:17:00,1.0001,1.0001,1.0,1.0,370.74,1677629879999,2
2023-03-01 00:18:00+00:00,USDTUSD,2023-03-01 00:18:00,1.0001,1.0001,1.0001,1.0001,654.86,1677629939999,2
2023-03-01 00:19:00+00:00,USDTUSD,2023-03-01 00:19:00,1.0001,1.0001,1.0001,1.0001,0.0,1677629999999,0
2023-03-01 00:20:00+00:00,USDTUSD,2023-03-01 00:20:00,1.0001,1.0001,1.0,1.0,6588.15,1677630059999,4
2023-03-01 00:21:00+00:00,USDTUSD,2023-03-01 00:21:00,1.0,1.0,1.0,1.0,255.0,1677630119999,1
2023-03-01 00:22:00+00:00,USDTUSD,2023-03-01 00:22:00,1.0,1.0,1.0,1.0,673.62,1677630179999,3
2023-03-01 00:23:00+00:00,USDTUSD,2023-03-01 00:23:00,1.0,1.0,1.0,1.0,0.0,1677630239999,0
2023-03-01 00:24:00+00:00,USDTUSD,2023-03-01 00:24:00,1.0,1.0001,1.0,1.0001,24367.9,1677630299999,4
2023-03-01 00:25:00+00:00,USDTUSD,2023-03-01 00:25:00,1.0001,1.0001,1.0001,1.0001,0.0,1677630359999,0
2023-03-01 00:26:00+00:00,USDTUSD,2023-03-01 00:26:00,1.0001,1.0001,1.0001,1.0001,0.0,1677630419999,0
2023-03-01 00:27:00+00:00,USDTUSD,2023-03-01 00:27:00,1.0001,1.0001,1.0,1.0,167.27,1677630479999,3
2023-03-01 00:28:00+00:00,USDTUSD,2023-03-01 00:28:00,1.0,1.0,1.0,1.0,0.0,1677630539999,0
2023-03-01 00:29:00+00:00,USDTUSD,2023-03-01 00:29:00,1.0001,1.0001,1.0001,1.0001,51.0,1677630599999,1
