,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-01 00:00:00+00:00,coinbase,BTCEUR,2023-03-01 00:00:00,21885.07,21891.62,21878.82,21887.27,0.10674043
2023-03-01 00:01:00+00:00,coinbase,BTCEUR,2023-03-01 00:01:00,21887.27,21887.27,21885.99,21885.99,0.1717609
2023-03-01 00:02:00+00:00,coinbase,BTCEUR,2023-03-01 00:02:00,21886.99,21901.14,21886.99,21901.14,0.12041735
2023-03-01 00:03:00+00:00,coinbase,BTCEUR,2023-03-01 00:03:00,21902.62,21909.4,21902.62,21909.4,0.0191289
2023-03-01 00:04:00+00:00,coinbase,BTCEUR,2023-03-01 00:04:00,21920.33,21920.33,21918.2,21918.2,0.00019959
2023-03-01 00:05:00+00:00,coinbase,BTCEUR,2023-03-01 00:05:00,21920.33,21923.28,21917.02,21917.02,0.03248358
2023-03-01 00:06:00+00:00,coinbase,BTCEUR,2023-03-01 00:06:00,21917.46,21918.65,21904.52,21904.52,0.79664846
2023-03-01 00:07:00+00:00,coinbase,BTCEUR,2023-03-01 00:07:00,21900.6,21900.6,21893.22,21893.22,0.2063309
2023-03-01 00:08:00+00:00,coinbase,BTCEUR,2023-03-01 00:07:00,21900.6,21900.6,21893.22,21893.22,0.0
2023-03-01 00:09:00+00:00,coinbase,BTCEUR,2023-03-01 00:09:00,21884.18,21884.18,21876.65,21878.66,0.02740981
2023-03-01 00:10:00+00:00,coinbase,BTCEUR,2023-03-01 00:10:00,21876.48,21880.0,21876.48,21878.52,0.0634014
2023-03-01 00:11:00+00:00,coinbase,BTCEUR,2023-03-01 00:11:00,21877.36,21889.45,21873.92,21889.45,4.34019155
2023-03-01 00:12:00+00:00,coinbase,BTCEUR,2023-03-01 00:12:00,21889.44,21914.0,21889.44,21914.0,1.12701041
2023-03-01 00:13:00+00:00,coinbase,BTCEUR,2023-03-01 00:13:00,21912.83,21919.88,21910.73,21914.83,1.13441629
2023-03-01 00:14:00+00:00,coinbase,BTCEUR,2023-03-01 00:14:00,21913.29,21913.29,21906.69,21912.0,0.52598446
2023-03-01 00:15:00+00:00,coinbase,BTCEUR,2023-03-01 00:15:00,21912.0,21921.1,21912.0,21915.03,0.71506
2023-03-01 00:16:00+00:00,coinbase,BTCEUR,2023-03-01 00:16:00,21909.84,21922.09,21909.82,21922.09,0.80412217
2023-03-01 00:17:00+00:00,coinbase,BTCEUR,2023-03-01 00:17:00,21924.82,21931.26,21924.82,21929.52,0.28717223
2023-03-01 00:18:00+00:00,coinbase,BTCEUR,2023-03-01 00:18:00,21924.54,21928.82,21924.54,21928.82,0.2243133
2023-03-01 00:19:00+00:00,coinbase,BTCEUR,2023-03-01 00:19:00,21929.08,21932.4,21929.08,21932.4,0.43797786
2023-03-01 00:20:00+00:00,coinbase,BTCEUR,2023-03-01 00:20:00,21931.24,21931.96,21924.55,21931.96,1.10656391
2023-03-01 00:21:00+00:00,coinbase,BTCEUR,2023-03-01 00:21:00,21935.64,21944.71,21935.64,21944.71,0.78116
2023-03-01 00:22:00+00:00,coinbase,BTCEUR,2023-03-01 00:22:00,21947.37,21968.22,21944.43,21949.35,1.7165027
