,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-01 00:00:00+00:00,coinbase,BTCUSD,2023-03-01 00:00:00,23144.37,23153.68,23134.31,23146.93,7.24789927
2023-03-01 00:01:00+00:00,coinbase,BTCUSD,2023-03-01 00:01:00,23146.77,23151.16,23142.51,23143.43,4.98869613
2023-03-01 00:02:00+00:00,coinbase,BTCUSD,2023-03-01 00:02:00,23143.67,23161.56,23143.0,23159.67,6.6070882
2023-03-01 00:03:00+00:00,coinbase,BTCUSD,2023-03-01 00:03:00,23159.67,23164.99,23158.51,23162.14,2.64326907
2023-03-01 00:04:00+00:00,coinbase,BTCUSD,2023-03-01 00:04:00,23162.15,23180.46,23162.15,23180.0,4.74295531
2023-03-01 00:05:00+00:00,coinbase,BTCUSD,2023-03-01 00:05:00,23180.01,23183.42,23172.87,23176.12,10.80989798
2023-03-01 00:06:00+00:00,coinbase,BTCUSD,2023-03-01 00:06:00,23175.57,23176.05,23156.37,23156.73,1.11513336
2023-03-01 00:07:00+00:00,coinbase,BTCUSD,2023-03-01 00:07:00,23156.72,23156.74,23139.86,23139.87,2.33758041
2023-03-01 00:08:00+00:00,coinbase,BTCUSD,2023-03-01 00:08:00,23139.87,23156.33,23139.86,23144.4,4.01425281
2023-03-01 00:09:00+00:00,coinbase,BTCUSD,2023-03-01 00:09:00,23144.4,23144.4,23124.01,23125.01,7.00258879
2023-03-01 00:10:00+00:00,coinbase,BTCUSD,2023-03-01 00:10:00,23125.01,23139.31,23123.21,23128.19,5.93689405
2023-03-01 00:11:00+00:00,coinbase,BTCUSD,2023-03-01 00:11:00,23128.2,23138.24,23118.58,23138.24,4.18274198
2023-03-01 00:12:00+00:00,coinbase,BTCUSD,2023-03-01 00:12:00,23138.01,23167.26,23138.01,23164.01,1.61851963
2023-03-01 00:13:00+00:00,coinbase,BTCUSD,2023-03-01 00:13:00,23164.01,23172.27,23161.33,23169.01,3.36140235
2023-03-01 00:14:00+00:00,coinbase,BTCUSD,2023-03-01 00:14:00,23169.0,23169.01,23156.22,23163.47,3.20901903
2023-03-01 00:15:00+00:00,coinbase,BTCUSD,2023-03-01 00:15:00,23164.6,23177.59,23164.22,23166.19,7.49788285
2023-03-01 00:16:00+00:00,coinbase,BTCUSD,2023-03-01 00:16:00,23167.75,23173.69,23161.47,23172.51,3.95073289
2023-03-01 00:17:00+00:00,coinbase,BTCUSD,2023-03-01 00:17:00,23174.99,23185.93,23174.31,23181.46,2.51990989
2023-03-01 00:18:00+00:00,coinbase,BTCUSD,2023-03-01 00:18:00,23179.8,23181.49,23171.67,23180.55,1.85582991
2023-03-01 00:19:00+00:00,coinbase,BTCUSD,2023-03-01 00:19:00,23180.55,23187.62,23178.94,23187.5,1.62408984
2023-03-01 00:20:00+00:00,coinbase,BTCUSD,2023-03-01 00:20:00,23187.47,23188.24,23175.65,23188.04,10.18030564
2023-03-01 00:21:00+00:00,coinbase,BTCUSD,2023-03-01 00:21:00,23188.25,23198.15,23188.09,23198.15,2.18024139
2023-03-01 00:22:00+00:00,coinbase,BTCUSD,2023-03-01 00:22:00,23198.15,23221.87,23198.13,23200.68,23.45302592
2023-03-01 00:23:00+00:00,coinbase,BTCUSD,2023-03-01 00:23:00,23200.06,23202.98,23190.95,23190.99,1.6510608
2023-03-01 00:24:00+00:00,coinbase,BTCUSD,2023-03-01 00:24:00,23190.98,23214.88,23189.53,23207.29,16.37122238
2023-03-01 00:25:00+00:00,coinbase,BTCUSD,2023-03-01 00:25:00,23207.01,23209.59,23189.01,23189.01,2.69475235
2023-03-01 00:26:00+00:00,coinbase,BTCUSD,2023-03-01 00:26:00,23189.01,23206.96,23189.01,23199.9,8.65551352
2023-03-01 00:27:00+00:00,coinbase,BTCUSD,2023-03-01 00:27:00,23199.12,23200.54,23191.0,23194.18,3.60344457
2023-03-01 00:28:00+00:00,coinbase,BTCUSD,2023-03-01 00:28:00,23194.17,23194.42,23181.38,23181.48,4.0290601
2023-03-01 00:29:00+00:00,coinbase,BTCUSD,2023-03-01 00:29:00,23181.76,23185.59,23170.19,23175.01,1.92775032
2023-03-01 00:30:00+00:00,coinbase,BTCUSD,2023-03-01 00:30:00,23175.2,23186.74,23168.98,23186.74,16.10458149
2023-03-01 00:31:00+00:00,coinbase,BTCUSD,2023-03-01 00:31:00,23186.63,23199.3,23184.01,23196.54,3.87240949
2023-03-01 00:32:00+00:00,coinbase,BTCUSD,2023-03-01 00:32:00,23196.03,23219.56,23195.0,23203.33,7.22774162
2023-03-01 00:33:00+00:00,coinbase,BTCUSD,2023-03-01 00:33:00,23203.33,23216.22,23203.33,23204.16,2.48077338
2023-03-01 00:34:00+00:00,coinbase,BTCUSD,2023-03-01 00:34:00,23204.06,23204.78,23195.67,23203.25,2.25633814
2023-03-01 00:35:00+00:00,coinbase,BTCUSD,2023-03-01 00:35:00,23202.49,23209.2,23196.01,23197.84,2.7737318
2023-03-01 00:36:00+00:00,coinbase,BTCUSD,2023-03-01 00:36:00,23197.83,23201.2,23181.94,23188.44,4.35650968
2023-03-01 00:37:00+00:00,coinbase,BTCUSD,2023-03-01 00:37:00,23188.33,23199.95,23183.52,23196.26,5.14381689
2023-03-01 00:38:00+00:00,coinbase,BTCUSD,2023-03-01 00:38:00,23196.31,23203.88,23194.82,23200.72,1.61949891
2023-03-01 00:39:00+00:00,coinbase,BTCUSD,2023-03-01 00:39:00,23200.01,23200.39,23183.96,23191.33,1.42346973
2023-03-01 00:40:00+00:00,coinbase,BTCUSD,2023-03-01 00:40:00,23191.0,23191.01,23182.17,23184.4,2.71662662
2023-03-01 00:41:00+00:00,coinbase,BTCUSD,2023-03-01 00:41:00,23183.65,23184.84,23180.38,23182.01,0.70627908
2023-03-01 00:42:00+00:00,coinbase,BTCUSD,2023-03-01 00:42:00,23182.01,23196.1,23182.01,23196.02,3.55928769
2023-03-01 00:43:00+00:00,coinbase,BTCUSD,2023-03-01 00:43:00,23195.59,23196.83,23158.17,23158.17,9.32015089
2023-03-01 00:44:00+00:00,coinbase,BTCUSD,2023-03-01 00:44:00,23158.0,23163.39,23145.0,23147.65,12.67133283
2023-03-01 00:45:00+00:00,coinbase,BTCUSD,2023-03-01 00:45:00,23149.44,23151.28,23137.8,23149.13,6.88952922
2023-03-01 00:46:00+00:00,coinbase,BTCUSD,2023-03-01 00:46:00,23150.12,23151.35,23137.13,23139.98,4.744425
2023-03-01 00:47:00+00:00,coinbase,BTCUSD,2023-03-01 00:47:00,23139.97,23144.34,23129.33,23133.01,3.83565529
2023-03-01 00:48:00+00:00,coinbase,BTCUSD,2023-03-01 00:48:00,23133.0,23133.0,23118.0,23122.63,2.44110287
2023-03-01 00:49:00+00:00,coinbase,BTCUSD,2023-03-01 00:49:00,23123.71,23124.74,23092.02,23094.4,20.71210735
2023-03-01 00:50:00+00:00,coinbase,BTCUSD,2023-03-01 00:50:00,23094.43,23100.81,23056.69,23068.04,8.49110944
2023-03-01 00:51:00+00:00,coinbase,BTCUSD,2023-03-01 00:51:00,23065.04,23093.51,23059.53,23061.57,12.17876443
2023-03-01 00:52:00+00:00,coinbase,BTCUSD,2023-03-01 00:52:00,23059.0,23071.49,23050.04,23064.26,10.95405374
2023-03-01 00:53:00+00:00,coinbase,BTCUSD,2023-03-01 00:53:00,23065.33,23074.77,23026.92,23041.67,34.83938271
2023-03-01 00:54:00+00:00,coinbase,BTCUSD,2023-03-01 00:54:00,23041.68,23055.59,23032.21,23032.21,6.5081892
2023-03-01 00:55:00+00:00,coinbase,BTCUSD,2023-03-01 00:55:00,23032.22,23048.01,23025.17,23039.91,12.55897443
2023-03-01 00:56:00+00:00,coinbase,BTCUSD,2023-03-01 00:56:00,23036.24,23066.82,23030.67,23066.82,10.50771844
2023-03-01 00:57:00+00:00,coinbase,BTCUSD,2023-03-01 00:57:00,23066.82,23110.32,23064.0,23105.73,18.9706913
2023-03-01 00:58:00+00:00,coinbase,BTCUSD,2023-03-01 00:58:00,23107.08,23116.37,23086.29,23098.0,9.89264986
2023-03-01 00:59:00+00:00,coinbase,BTCUSD,2023-03-01 00:59:00,23097.01,23106.12,23085.04,23103.31,6.13003334
2023-03-01 01:00:00+00:00,coinbase,BTCUSD,2023-03-01 01:00:00,23103.3,23105.6,23077.0,23079.73,8.44272514
2023-03-01 01:01:00+00:00,coinbase,BTCUSD,2023-03-01 01:01:00,23079.03,23122.26,23079.0,23118.32,6.51488523
2023-03-01 01:02:00+00:00,coinbase,BTCUSD,2023-03-01 01:02:00,23116.31,23124.23,23113.0,23119.25,1.03249539
2023-03-01 01:03:00+00:00,coinbase,BTCUSD,2023-03-01 01:03:00,23117.31,23123.53,23105.0,23121.68,8.37022334
2023-03-01 01:04:00+00:00,coinbase,BTCUSD,2023-03-01 01:04:00,23121.87,23122.01,23107.89,23113.01,2.91630397
2023-03-01 01:05:00+00:00,coinbase,BTCUSD,2023-03-01 01:05:00,23113.0,23122.01,23098.4,23122.01,7.96987651
2023-03-01 01:06:00+00:00,coinbase,BTCUSD,2023-03-01 01:06:00,23121.32,23122.78,23116.26,23120.51,1.89384779
2023-03-01 01:07:00+00:00,coinbase,BTCUSD,2023-03-01 01:07:00,23120.99,23141.07,23120.99,23139.72,5.89315181
2023-03-01 01:08:00+00:00,coinbase,BTCUSD,2023-03-01 01:08:00,23138.02,23141.71,23129.51,23131.38,2.20525099
2023-03-01 01:09:00+00:00,coinbase,BTCUSD,2023-03-01 01:09:00,23131.44,23132.8,23115.55,23118.07,2.02120918
2023-03-01 01:10:00+00:00,coinbase,BTCUSD,2023-03-01 01:10:00,23118.18,23149.02,23117.7,23149.02,11.30077653
2023-03-01 01:11:00+00:00,coinbase,BTCUSD,2023-03-01 01:11:00,23148.72,23151.01,23140.62,23149.57,11.76408704
2023-03-01 01:12:00+00:00,coinbase,BTCUSD,2023-03-01 01:12:00,23149.57,23155.11,23141.4,23153.31,11.98069192
2023-03-01 01:13:00+00:00,coinbase,BTCUSD,2023-03-01 01:13:00,23153.08,23164.0,23150.2,23160.46,13.900654
2023-03-01 01:14:00+00:00,coinbase,BTCUSD,2023-03-01 01:14:00,23161.0,23169.0,23159.81,23168.42,12.65781009
2023-03-01 01:15:00+00:00,coinbase,BTCUSD,2023-03-01 01:15:00,23167.74,23172.31,23156.09,23157.68,22.52204811
2023-03-01 01:16:00+00:00,coinbase,BTCUSD,2023-03-01 01:16:00,23156.05,23162.72,23153.55,23153.55,22.08585383
2023-03-01 01:17:00+00:00,coinbase,BTCUSD,2023-03-01 01:17:00,23153.74,23159.12,23134.82,23158.19,10.18465057
2023-03-01 01:18:00+00:00,coinbase,BTCUSD,2023-03-01 01:18:00,23158.18,23169.2,23155.58,23166.24,3.32331009
2023-03-01 01:19:00+00:00,coinbase,BTCUSD,2023-03-01 01:19:00,23165.8,23165.81,23137.94,23139.58,7.44608395
2023-03-01 01:20:00+00:00,coinbase,BTCUSD,2023-03-01 01:20:00,23140.2,23148.34,23140.2,23144.99,2.27198189
2023-03-01 01:21:00+00:00,coinbase,BTCUSD,2023-03-01 01:21:00,23146.43,23151.18,23144.98,23147.75,2.38523541
2023-03-01 01:22:00+00:00,coinbase,BTCUSD,2023-03-01 01:22:00,23148.25,23149.47,23129.67,23148.04,7.43798213
2023-03-01 01:23:00+00:00,coinbase,BTCUSD,2023-03-01 01:23:00,23148.29,23154.02,23144.83,23146.75,2.86935548
2023-03-01 01:24:00+00:00,coinbase,BTCUSD,2023-03-01 01:24:00,23146.75,23150.5,23145.01,23146.72,1.23557963
2023-03-01 01:25:00+00:00,coinbase,BTCUSD,2023-03-01 01:25:00,23146.53,23146.53,23134.99,23136.54,1.83886644
2023-03-01 01:26:00+00:00,coinbase,BTCUSD,2023-03-01 01:26:00,23136.13,23148.32,23136.13,23148.32,1.64850725
2023-03-01 01:27:00+00:00,coinbase,BTCUSD,2023-03-01 01:27:00,23149.32,23150.05,23139.45,23139.78,2.97555899
2023-03-01 01:28:00+00:00,coinbase,BTCUSD,2023-03-01 01:28:00,23139.77,23142.05,23139.34,23141.21,1.20526307
2023-03-01 01:29:00+00:00,coinbase,BTCUSD,2023-03-01 01:29:00,23141.21,23153.9,23135.66,23153.89,13.97761546
2023-03-01 01:30:00+00:00,coinbase,BTCUSD,2023-03-01 01:30:00,23155.37,23196.22,23154.52,23192.21,20.44180297
2023-03-01 01:31:00+00:00,coinbase,BTCUSD,2023-03-01 01:31:00,23196.26,23200.77,23191.03,23200.56,20.22685787
2023-03-01 01:32:00+00:00,coinbase,BTCUSD,2023-03-01 01:32:00,23200.57,23214.2,23188.0,23209.96,8.36033158
2023-03-01 01:33:00+00:00,coinbase,BTCUSD,2023-03-01 01:33:00,23210.01,23249.53,23207.01,23246.03,8.11356777
2023-03-01 01:34:00+00:00,coinbase,BTCUSD,2023-03-01 01:34:00,23246.01,23268.18,23232.0,23266.04,20.97606864
2023-03-01 01:35:00+00:00,coinbase,BTCUSD,2023-03-01 01:35:00,23266.15,23277.38,23223.0,23223.0,16.16145731
2023-03-01 01:36:00+00:00,coinbase,BTCUSD,2023-03-01 01:36:00,23222.0,23235.75,23215.68,23221.85,2.95743801
2023-03-01 01:37:00+00:00,coinbase,BTCUSD,2023-03-01 01:37:00,23221.41,23234.96,23213.67,23229.5,11.6757023
2023-03-01 01:38:00+00:00,coinbase,BTCUSD,2023-03-01 01:38:00,23229.84,23229.84,23215.53,23219.53,5.31634959
2023-03-01 01:39:00+00:00,coinbase,BTCUSD,2023-03-01 01:39:00,23224.64,23249.0,23218.32,23245.62,8.72364566
