file,schema,gap_start_utc,gap_end_utc,n_missing_bars,action
coinbase_BTCEUR_1m_20230301_20230321.csv,A,2023-03-04 16:55:00+00:00,2023-03-04 21:41:00+00:00,287,DROPPED -- not imputed
coinbase_BTCUSDC_1m_20230301_20230321.csv,B,2023-03-04 17:00:00+00:00,2023-03-04 21:36:00+00:00,277,DROPPED -- not imputed
coinbase_BTCUSDT_1m_20230301_20230321.csv,B,2023-03-04 17:00:00+00:00,2023-03-04 21:41:00+00:00,282,DROPPED -- not imputed
coinbase_BTCUSD_1m_20230301_20230321.csv,A,2023-03-04 17:00:00+00:00,2023-03-04 21:36:00+00:00,277,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-01 03:22:00+00:00,2023-03-01 04:03:00+00:00,42,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-01 21:49:00+00:00,2023-03-01 22:24:00+00:00,36,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-01 23:20:00+00:00,2023-03-01 23:59:00+00:00,40,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-02 01:40:00+00:00,2023-03-02 02:56:00+00:00,77,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-04 04:17:00+00:00,2023-03-04 04:47:00+00:00,31,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-04 10:59:00+00:00,2023-03-04 11:33:00+00:00,35,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-04 11:35:00+00:00,2023-03-04 12:20:00+00:00,46,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-04 17:00:00+00:00,2023-03-04 23:25:00+00:00,386,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-05 06:46:00+00:00,2023-03-05 07:25:00+00:00,40,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-07 01:12:00+00:00,2023-03-07 01:46:00+00:00,35,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-07 22:58:00+00:00,2023-03-07 23:30:00+00:00,33,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-09 01:56:00+00:00,2023-03-09 02:31:00+00:00,36,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-09 02:42:00+00:00,2023-03-09 03:24:00+00:00,43,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-09 03:59:00+00:00,2023-03-09 04:29:00+00:00,31,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-09 05:08:00+00:00,2023-03-09 06:00:00+00:00,53,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-12 03:15:00+00:00,2023-03-12 03:49:00+00:00,35,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-12 05:09:00+00:00,2023-03-12 05:50:00+00:00,42,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-13 04:25:00+00:00,2023-03-13 04:58:00+00:00,34,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-16 05:12:00+00:00,2023-03-16 05:49:00+00:00,38,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-17 04:25:00+00:00,2023-03-17 05:01:00+00:00,37,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-18 02:40:00+00:00,2023-03-18 04:07:00+00:00,88,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-18 07:00:00+00:00,2023-03-18 07:32:00+00:00,33,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-18 10:38:00+00:00,2023-03-18 11:27:00+00:00,50,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-18 23:44:00+00:00,2023-03-19 00:17:00+00:00,34,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-19 02:48:00+00:00,2023-03-19 03:20:00+00:00,33,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-19 04:27:00+00:00,2023-03-19 05:10:00+00:00,44,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-19 21:27:00+00:00,2023-03-19 22:02:00+00:00,36,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-20 04:14:00+00:00,2023-03-20 04:52:00+00:00,39,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-21 01:38:00+00:00,2023-03-21 02:20:00+00:00,43,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-21 03:17:00+00:00,2023-03-21 03:52:00+00:00,36,DROPPED -- not imputed
coinbase_USDCEUR_1m_20230301_20230321.csv,A,2023-03-21 04:59:00+00:00,2023-03-21 05:40:00+00:00,42,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-04 16:36:00+00:00,2023-03-04 22:06:00+00:00,331,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-05 03:38:00+00:00,2023-03-05 04:22:00+00:00,45,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-05 05:44:00+00:00,2023-03-05 06:20:00+00:00,37,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-05 06:22:00+00:00,2023-03-05 06:53:00+00:00,32,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-19 04:13:00+00:00,2023-03-19 04:45:00+00:00,33,DROPPED -- not imputed
