exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
coinbase,BTCEUR,1679425200000,2023-03-21 19:00:00,26212,26213.34,26199.7,26204.83,0.00307783
coinbase,BTCEUR,1679425260000,2023-03-21 19:01:00,26206.85,26210.93,26192.47,26209.99,0.00546713
coinbase,BTCEUR,1679425320000,2023-03-21 19:02:00,26209.76,26209.76,26183.92,26191.91,0.20762979
coinbase,BTCEUR,1679425380000,2023-03-21 19:03:00,26191.9,26191.9,26181.89,26184.09,0.51275963
coinbase,BTCEUR,1679425440000,2023-03-21 19:04:00,26191.38,26194,26183.75,26183.75,0.220241
coinbase,BTCEUR,1679425500000,2023-03-21 19:05:00,26178.52,26178.52,26178.52,26178.52,0.0088204
coinbase,BTCEUR,1679425560000,2023-03-21 19:06:00,26187.9,26200.84,26185.75,26187.23,0.03036611
coinbase,BTCEUR,1679425620000,2023-03-21 19:07:00,26215.35,26243.37,26215.35,26243.37,0.50488916
coinbase,BTCEUR,1679425680000,2023-03-21 19:08:00,26249,26263.77,26239.5,26239.5,0.23974057
coinbase,BTCEUR,1679425740000,2023-03-21 19:09:00,26240.3,26240.31,26221.95,26221.95,0.02397873
coinbase,BTCEUR,1679425800000,2023-03-21 19:10:00,26223.73,26228.17,26196.4,26196.4,0.03566042
coinbase,BTCEUR,1679425860000,2023-03-21 19:11:00,26208.55,26235.49,26193.77,26231.73,0.00586647
coinbase,BTCEUR,1679425920000,2023-03-21 19:12:00,26231.73,26242.65,26231.73,26242.65,0.09317695
coinbase,BTCEUR,1679425980000,2023-03-21 19:13:00,26237.21,26241.57,26213.7,26213.7,0.08641413
coinbase,BTCEUR,1679426040000,2023-03-21 19:14:00,26213.7,26233.1,26203.86,26203.86,0.06344703
coinbase,BTCEUR,1679426100000,2023-03-21 19:15:00,26205.43,26210.84,26185.74,26192.75,0.08370914
coinbase,BTCEUR,1679426160000,2023-03-21 19:16:00,26186.94,26192.93,26164.74,26175.1,0.1263492
coinbase,BTCEUR,1679426220000,2023-03-21 19:17:00,26183,26205.77,26183,26205.77,0.00013161
coinbase,BTCEUR,1679426280000,2023-03-21 19:18:00,26215.28,26217.67,26196.39,26211.92,0.01858004
coinbase,BTCEUR,1679426340000,2023-03-21 19:19:00,26215.83,26215.98,26209.49,26209.76,0.02356096
coinbase,BTCEUR,1679426400000,2023-03-21 19:20:00,26199.33,26205.68,26199.33,26205.68,0.17733125
coinbase,BTCEUR,1679426460000,2023-03-21 19:21:00,26205.43,26217.84,26202.61,26211.75,0.05022806
coinbase,BTCEUR,1679426520000,2023-03-21 19:22:00,26217.88,26217.88,26216.65,26216.65,0.00034056
coinbase,BTCEUR,1679426580000,2023-03-21 19:23:00,26225.67,26230.69,26218.16,26230.69,0.06450119
coinbase,BTCEUR,1679426640000,2023-03-21 19:24:00,26222.59,26222.59,26222.59,26222.59,0.03961735
coinbase,BTCEUR,1679426700000,2023-03-21 19:25:00,26213.56,26213.56,26190.83,26190.83,0.57422079
coinbase,BTCEUR,1679426760000,2023-03-21 19:26:00,26198.12,26208.68,26198.12,26208.68,0.04397478
coinbase,BTCEUR,1679426820000,2023-03-21 19:27:00,26218.62,26218.62,26213.04,26216.11,0.08017742
coinbase,BTCEUR,1679426880000,2023-03-21 19:28:00,26228.03,26228.04,26221.06,26221.06,0.12018681
coinbase,BTCEUR,1679426940000,2023-03-21 19:29:00,26225.16,26231.39,26223.3,26231.39,0.02865207
coinbase,BTCEUR,1679427000000,2023-03-21 19:30:00,26216.96,26222.79,26216.96,26222.79,0.00298689
coinbase,BTCEUR,1679427060000,2023-03-21 19:31:00,26220.47,26220.47,26213.11,26220.38,0.01964278
coinbase,BTCEUR,1679427120000,2023-03-21 19:32:00,26227.44,26233.92,26216.53,26230.47,0.04737725
coinbase,BTCEUR,1679427180000,2023-03-21 19:33:00,26238.28,26238.28,26232.99,26232.99,0.00224176
coinbase,BTCEUR,1679427240000,2023-03-21 19:34:00,26228.42,26236.07,26220.61,26220.75,0.06481259
coinbase,BTCEUR,1679427300000,2023-03-21 19:35:00,26220.34,26222.03,26212.69,26218.75,0.13155095
coinbase,BTCEUR,1679427360000,2023-03-21 19:36:00,26222.92,26235.37,26222.92,26225.45,0.30185378
