exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
coinbase,USDCEUR,1679425440000,2023-03-21 19:04:00,0.9281,0.9281,0.9277,0.9277,528.78
coinbase,USDCEUR,1679425800000,2023-03-21 19:10:00,0.9277,0.9282,0.9277,0.9282,78.11
coinbase,USDCEUR,1679425980000,2023-03-21 19:13:00,0.9282,0.9282,0.9282,0.9282,17.13
coinbase,USDCEUR,1679426040000,2023-03-21 19:14:00,0.9282,0.9282,0.9282,0.9282,33.69
coinbase,USDCEUR,1679426160000,2023-03-21 19:16:00,0.9282,0.9282,0.9282,0.9282,5.55
coinbase,USDCEUR,1679426280000,2023-03-21 19:18:00,0.9282,0.9282,0.9282,0.9282,34.72
coinbase,USDCEUR,1679426640000,2023-03-21 19:24:00,0.9278,0.9278,0.9277,0.9277,71.91
coinbase,USDCEUR,1679426940000,2023-03-21 19:29:00,0.9279,0.9279,0.9279,0.9279,32.85
coinbase,USDCEUR,1679427060000,2023-03-21 19:31:00,0.928,0.928,0.9279,0.9279,689.87
coinbase,USDCEUR,1679427180000,2023-03-21 19:33:00,0.9281,0.9281,0.9281,0.9281,5.14
coinbase,USDCEUR,1679427300000,2023-03-21 19:35:00,0.9282,0.9283,0.9282,0.9283,134.41
coinbase,USDCEUR,1679427480000,2023-03-21 19:38:00,0.9282,0.9282,0.9278,0.9278,3.68
coinbase,USDCEUR,1679427660000,2023-03-21 19:41:00,0.9278,0.928,0.9278,0.928,129.76
coinbase,USDCEUR,1679427720000,2023-03-21 19:42:00,0.928,0.9282,0.9278,0.9281,217.64
coinbase,USDCEUR,1679428320000,2023-03-21 19:52:00,0.9277,0.9277,0.9277,0.9277,16.38
coinbase,USDCEUR,1679428380000,2023-03-21 19:53:00,0.928,0.928,0.9277,0.9277,194.25
coinbase,USDCEUR,1679428500000,2023-03-21 19:55:00,0.9277,0.9277,0.9277,0.9277,62.58
coinbase,USDCEUR,1679428560000,2023-03-21 19:56:00,0.9276,0.9276,0.9276,0.9276,423.21
coinbase,USDCEUR,1679428800000,2023-03-21 20:00:00,0.9276,0.9276,0.9276,0.9276,31.29
coinbase,USDCEUR,1679428860000,2023-03-21 20:01:00,0.9279,0.9279,0.9276,0.9276,32.36
coinbase,USDCEUR,1679428920000,2023-03-21 20:02:00,0.9278,0.9278,0.9275,0.9275,604.67
coinbase,USDCEUR,1679429220000,2023-03-21 20:07:00,0.9275,0.9275,0.9275,0.9275,122.29
coinbase,USDCEUR,1679429340000,2023-03-21 20:09:00,0.9275,0.9275,0.9268,0.9268,3043.84
coinbase,USDCEUR,1679429520000,2023-03-21 20:12:00,0.9273,0.9273,0.9273,0.9273,289.11
coinbase,USDCEUR,1679429700000,2023-03-21 20:15:00,0.9273,0.9273,0.9273,0.9273,125.92
coinbase,USDCEUR,1679429760000,2023-03-21 20:16:00,0.9274,0.9274,0.9274,0.9274,46.58
coinbase,USDCEUR,1679429880000,2023-03-21 20:18:00,0.9271,0.9274,0.9271,0.9274,13680.41
coinbase,USDCEUR,1679430240000,2023-03-21 20:24:00,0.9274,0.9275,0.9274,0.9274,160.58
coinbase,USDCEUR,1679430540000,2023-03-21 20:29:00,0.9274,0.9275,0.9274,0.9275,200.72
coinbase,USDCEUR,1679430720000,2023-03-21 20:32:00,0.9276,0.9277,0.9276,0.9277,1074.52
coinbase,USDCEUR,1679430840000,2023-03-21 20:34:00,0.9276,0.9276,0.9271,0.9271,186.75
coinbase,USDCEUR,1679430900000,2023-03-21 20:35:00,0.9278,0.9281,0.9277,0.9277,659.78
coinbase,USDCEUR,1679431140000,2023-03-21 20:39:00,0.9277,0.9277,0.9277,0.9277,51.35
coinbase,USDCEUR,1679431200000,2023-03-21 20:40:00,0.9277,0.9282,0.9273,0.9282,175.47
coinbase,USDCEUR,1679431680000,2023-03-21 20:48:00,0.9282,0.9282,0.9282,0.9282,455.37
coinbase,USDCEUR,1679431980000,2023-03-21 20:53:00,0.9281,0.9283,0.9281,0.9283,271.23
coinbase,USDCEUR,1679432280000,2023-03-21 20:58:00,0.9283,0.9283,0.9283,0.9283,237.45
coinbase,USDCEUR,1679432580000,2023-03-21 21:03:00,0.9284,0.9284,0.9284,0.9284,49.99
coinbase,USDCEUR,1679432760000,2023-03-21 21:06:00,0.9283,0.9285,0.9283,0.9284,223
coinbase,USDCEUR,1679432940000,2023-03-21 21:09:00,0.9284,0.9284,0.9284,0.9284,41.92
coinbase,USDCEUR,1679433120000,2023-03-21 21:12:00,0.9282,0.9284,0.9282,0.9284,4.21
coinbase,USDCEUR,1679433180000,2023-03-21 21:13:00,0.9284,0.9284,0.9282,0.9282,234.47
coinbase,USDCEUR,1679433420000,2023-03-21 21:17:00,0.9284,0.9287,0.9284,0.9287,106.51
coinbase,USDCEUR,1679433660000,2023-03-21 21:21:00,0.9283,0.9285,0.9283,0.9285,56.14
