exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
coinbase,USDTEUR,1679425200000,2023-03-21 19:00:00,0.9317,0.9317,0.93168,0.93168,5130.62
coinbase,USDTEUR,1679425440000,2023-03-21 19:04:00,0.93166,0.93166,0.93162,0.93163,5204.76
coinbase,USDTEUR,1679425680000,2023-03-21 19:08:00,0.93152,0.93192,0.93152,0.93192,8074.9
coinbase,USDTEUR,1679425800000,2023-03-21 19:10:00,0.9316,0.9319,0.93151,0.9319,1634.57
coinbase,USDTEUR,1679425920000,2023-03-21 19:12:00,0.9318,0.93209,0.93154,0.93154,5646
coinbase,USDTEUR,1679426100000,2023-03-21 19:15:00,0.93161,0.93173,0.93153,0.93153,5429.34
coinbase,USDTEUR,1679426220000,2023-03-21 19:17:00,0.93154,0.93206,0.93154,0.93206,5498.16
coinbase,USDTEUR,1679426460000,2023-03-21 19:21:00,0.9316,0.93203,0.93153,0.93157,5429.99
coinbase,USDTEUR,1679426520000,2023-03-21 19:22:00,0.93164,0.93209,0.93143,0.93209,5463.71
coinbase,USDTEUR,1679426640000,2023-03-21 19:24:00,0.93162,0.93164,0.93162,0.93164,2076.67
coinbase,USDTEUR,1679426880000,2023-03-21 19:28:00,0.93199,0.93199,0.93157,0.93157,105.53
coinbase,USDTEUR,1679426940000,2023-03-21 19:29:00,0.93152,0.93152,0.93152,0.93152,144
coinbase,USDTEUR,1679427000000,2023-03-21 19:30:00,0.93151,0.9321,0.93151,0.93189,26482.49
coinbase,USDTEUR,1679427120000,2023-03-21 19:32:00,0.93191,0.93209,0.93191,0.93209,1325.9
coinbase,USDTEUR,1679427180000,2023-03-21 19:33:00,0.9321,0.93211,0.9321,0.93211,349.46
coinbase,USDTEUR,1679427300000,2023-03-21 19:35:00,0.9322,0.93274,0.9322,0.9323,7214.22
coinbase,USDTEUR,1679427540000,2023-03-21 19:39:00,0.9321,0.93233,0.9321,0.93233,159.65
coinbase,USDTEUR,1679427660000,2023-03-21 19:41:00,0.93211,0.93248,0.93211,0.93217,1362.65
coinbase,USDTEUR,1679427720000,2023-03-21 19:42:00,0.93218,0.9322,0.93158,0.9318,34127.28
coinbase,USDTEUR,1679427840000,2023-03-21 19:44:00,0.9315,0.9315,0.9315,0.9315,592.39
coinbase,USDTEUR,1679427900000,2023-03-21 19:45:00,0.93144,0.93144,0.93123,0.9313,27664.15
coinbase,USDTEUR,1679427960000,2023-03-21 19:46:00,0.93124,0.93128,0.93124,0.93128,2072.76
coinbase,USDTEUR,1679428020000,2023-03-21 19:47:00,0.93144,0.93154,0.93144,0.93151,533.76
coinbase,USDTEUR,1679428260000,2023-03-21 19:51:00,0.93163,0.93163,0.93163,0.93163,21.46
coinbase,USDTEUR,1679428500000,2023-03-21 19:55:00,0.93122,0.93123,0.93103,0.93103,2231.71
coinbase,USDTEUR,1679428560000,2023-03-21 19:56:00,0.93102,0.93102,0.93087,0.93096,13276.58
coinbase,USDTEUR,1679428680000,2023-03-21 19:58:00,0.93116,0.93116,0.93114,0.93114,10104.19
coinbase,USDTEUR,1679428740000,2023-03-21 19:59:00,0.931,0.93113,0.931,0.93103,2167.17
coinbase,USDTEUR,1679428800000,2023-03-21 20:00:00,0.93102,0.93102,0.93097,0.93097,1470.17
coinbase,USDTEUR,1679428860000,2023-03-21 20:01:00,0.93097,0.93097,0.93097,0.93097,31.17
coinbase,USDTEUR,1679428920000,2023-03-21 20:02:00,0.9309,0.931,0.9309,0.931,2451.2
coinbase,USDTEUR,1679429100000,2023-03-21 20:05:00,0.93103,0.93111,0.93101,0.93103,22745.65
coinbase,USDTEUR,1679429220000,2023-03-21 20:07:00,0.931,0.93114,0.931,0.93114,73154.66
coinbase,USDTEUR,1679429280000,2023-03-21 20:08:00,0.93128,0.93128,0.93126,0.93126,2013.66
coinbase,USDTEUR,1679429400000,2023-03-21 20:10:00,0.93118,0.93128,0.93109,0.93109,9667.8
coinbase,USDTEUR,1679429520000,2023-03-21 20:12:00,0.93096,0.93096,0.93094,0.93095,12460.91
coinbase,USDTEUR,1679429700000,2023-03-21 20:15:00,0.93104,0.9311,0.93104,0.9311,207.55
coinbase,USDTEUR,1679429760000,2023-03-21 20:16:00,0.93119,0.93119,0.93101,0.93101,32058.35
coinbase,USDTEUR,1679429880000,2023-03-21 20:18:00,0.93116,0.93119,0.93108,0.93112,17380.98
coinbase,USDTEUR,1679430060000,2023-03-21 20:21:00,0.93113,0.93113,0.93112,0.93113,1542.84
coinbase,USDTEUR,1679430240000,2023-03-21 20:24:00,0.9312,0.93125,0.93116,0.93116,385.76
coinbase,USDTEUR,1679430420000,2023-03-21 20:27:00,0.93115,0.93119,0.93115,0.93118,882.53
coinbase,USDTEUR,1679430480000,2023-03-21 20:28:00,0.93119,0.93119,0.93119,0.93119,375.86
coinbase,USDTEUR,1679430540000,2023-03-21 20:29:00,0.93119,0.93119,0.93112,0.93112,834.28
coinbase,USDTEUR,1679430600000,2023-03-21 20:30:00,0.93112,0.93112,0.93108,0.93108,1756.83
coinbase,USDTEUR,1679430720000,2023-03-21 20:32:00,0.93108,0.93114,0.93108,0.93114,534.87
coinbase,USDTEUR,1679430900000,2023-03-21 20:35:00,0.93116,0.93116,0.93116,0.93116,1.2
coinbase,USDTEUR,1679431020000,2023-03-21 20:37:00,0.93116,0.93117,0.93114,0.93114,277.22
coinbase,USDTEUR,1679431080000,2023-03-21 20:38:00,0.93112,0.93117,0.93112,0.93115,44923.51
coinbase,USDTEUR,1679431140000,2023-03-21 20:39:00,0.93109,0.93109,0.93109,0.93109,21.5
coinbase,USDTEUR,1679431200000,2023-03-21 20:40:00,0.93108,0.93108,0.9309,0.93093,86505.08
coinbase,USDTEUR,1679431500000,2023-03-21 20:45:00,0.93079,0.93095,0.93079,0.93095,6864.51
coinbase,USDTEUR,1679431560000,2023-03-21 20:46:00,0.93093,0.93094,0.93093,0.93093,7153.61
coinbase,USDTEUR,1679431740000,2023-03-21 20:49:00,0.93089,0.93107,0.93089,0.93107,3639.27
coinbase,USDTEUR,1679431860000,2023-03-21 20:51:00,0.93097,0.931,0.93097,0.931,1157.77
coinbase,USDTEUR,1679431920000,2023-03-21 20:52:00,0.93099,0.93099,0.93097,0.93097,547.84
coinbase,USDTEUR,1679432220000,2023-03-21 20:57:00,0.93097,0.93097,0.93097,0.93097,1502.38
coinbase,USDTEUR,1679432280000,2023-03-21 20:58:00,0.93096,0.93097,0.93089,0.93097,1020.93
coinbase,USDTEUR,1679432340000,2023-03-21 20:59:00,0.93088,0.93114,0.93088,0.93104,28744.67
coinbase,USDTEUR,1679432400000,2023-03-21 21:00:00,0.9311,0.93119,0.9311,0.9311,568.68
coinbase,USDTEUR,1679432460000,2023-03-21 21:01:00,0.9311,0.93119,0.9311,0.93119,3118.85
coinbase,USDTEUR,1679432520000,2023-03-21 21:02:00,0.93111,0.93114,0.93111,0.93114,576.89
coinbase,USDTEUR,1679432580000,2023-03-21 21:03:00,0.9311,0.9311,0.9311,0.9311,64.6
coinbase,USDTEUR,1679432640000,2023-03-21 21:04:00,0.93115,0.93115,0.9311,0.9311,1496.58
coinbase,USDTEUR,1679432700000,2023-03-21 21:05:00,0.93108,0.93108,0.93103,0.93103,8818.1
coinbase,USDTEUR,1679432820000,2023-03-21 21:07:00,0.93099,0.93107,0.93099,0.93107,113.05
coinbase,USDTEUR,1679432880000,2023-03-21 21:08:00,0.93107,0.93118,0.93098,0.93098,10135.63
coinbase,USDTEUR,1679432940000,2023-03-21 21:09:00,0.93107,0.93107,0.9309,0.93096,1745.42
coinbase,USDTEUR,1679433060000,2023-03-21 21:11:00,0.93086,0.9311,0.93086,0.9311,5232.07
coinbase,USDTEUR,1679433120000,2023-03-21 21:12:00,0.93104,0.93104,0.93087,0.93089,4175.35
coinbase,USDTEUR,1679433180000,2023-03-21 21:13:00,0.93091,0.93102,0.9309,0.93102,1506.09
coinbase,USDTEUR,1679433240000,2023-03-21 21:14:00,0.93102,0.9311,0.93094,0.93098,5149.44
coinbase,USDTEUR,1679433300000,2023-03-21 21:15:00,0.9309,0.93096,0.9309,0.93096,1435.85
