exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
coinbase,USDTUSDC,1679426280000,2023-03-21 19:18:00,1.0038,1.0041,1.0038,1.0041,79.85
coinbase,USDTUSDC,1679427000000,2023-03-21 19:30:00,1.0041,1.0041,1.004,1.004,154.18
coinbase,USDTUSDC,1679427060000,2023-03-21 19:31:00,1.004,1.004,1.0039,1.0039,57.94
coinbase,USDTUSDC,1679427120000,2023-03-21 19:32:00,1.0041,1.0042,1.0041,1.0041,806.74
coinbase,USDTUSDC,1679427240000,2023-03-21 19:34:00,1.0041,1.0041,1.0039,1.0039,8.71
coinbase,USDTUSDC,1679427600000,2023-03-21 19:40:00,1.0042,1.0042,1.0042,1.0042,131.1
coinbase,USDTUSDC,1679427720000,2023-03-21 19:42:00,1.0042,1.0043,1.0039,1.0039,2709.78
coinbase,USDTUSDC,1679428020000,2023-03-21 19:47:00,1.0042,1.0042,1.0039,1.0039,142.4
coinbase,USDTUSDC,1679428140000,2023-03-21 19:49:00,1.0039,1.0039,1.0039,1.0039,942.37
coinbase,USDTUSDC,1679428380000,2023-03-21 19:53:00,1.0039,1.0039,1.0039,1.0039,59.39
coinbase,USDTUSDC,1679428500000,2023-03-21 19:55:00,1.0038,1.0039,1.0038,1.0039,65.26
coinbase,USDTUSDC,1679428560000,2023-03-21 19:56:00,1.0039,1.0039,1.0038,1.0039,421.61
coinbase,USDTUSDC,1679428800000,2023-03-21 20:00:00,1.0039,1.0039,1.0039,1.0039,31.17
coinbase,USDTUSDC,1679428860000,2023-03-21 20:01:00,1.0039,1.0039,1.0039,1.0039,31.17
coinbase,USDTUSDC,1679428920000,2023-03-21 20:02:00,1.0037,1.004,1.0037,1.004,21.66
coinbase,USDTUSDC,1679429460000,2023-03-21 20:11:00,1.0039,1.0039,1.0039,1.0039,996.11
coinbase,USDTUSDC,1679429580000,2023-03-21 20:13:00,1.0038,1.0038,1.0037,1.0037,265.86
coinbase,USDTUSDC,1679429700000,2023-03-21 20:15:00,1.0037,1.0038,1.0037,1.0038,145.37
coinbase,USDTUSDC,1679429820000,2023-03-21 20:17:00,1.0036,1.004,1.0036,1.0037,17584.13
coinbase,USDTUSDC,1679429880000,2023-03-21 20:18:00,1.0037,1.0039,1.0036,1.0037,1715.73
coinbase,USDTUSDC,1679430240000,2023-03-21 20:24:00,1.0037,1.0037,1.0037,1.0037,159.98
coinbase,USDTUSDC,1679430540000,2023-03-21 20:29:00,1.0035,1.0036,1.0034,1.0036,375.56
coinbase,USDTUSDC,1679430660000,2023-03-21 20:31:00,1.0034,1.0035,1.0034,1.0035,720.93
coinbase,USDTUSDC,1679430720000,2023-03-21 20:32:00,1.0034,1.0035,1.0034,1.0035,536.02
coinbase,USDTUSDC,1679431020000,2023-03-21 20:37:00,1.0035,1.0035,1.003,1.0034,3033.59
coinbase,USDTUSDC,1679431140000,2023-03-21 20:39:00,1.0034,1.0034,1.0034,1.0034,21.5
coinbase,USDTUSDC,1679431200000,2023-03-21 20:40:00,1.0029,1.0034,1.0025,1.0027,3051.83
coinbase,USDTUSDC,1679431440000,2023-03-21 20:44:00,1.0027,1.003,1.0026,1.0026,4464.1
coinbase,USDTUSDC,1679431920000,2023-03-21 20:52:00,1.0026,1.0026,1.0026,1.0026,2.62
coinbase,USDTUSDC,1679432040000,2023-03-21 20:54:00,1.0026,1.0026,1.0026,1.0026,2.07
coinbase,USDTUSDC,1679432340000,2023-03-21 20:59:00,1.003,1.003,1.003,1.003,133.04
coinbase,USDTUSDC,1679433240000,2023-03-21 21:14:00,1.003,1.0032,1.003,1.0032,6.28
coinbase,USDTUSDC,1679433660000,2023-03-21 21:21:00,1.0029,1.0029,1.0029,1.0029,55.99
coinbase,USDTUSDC,1679434080000,2023-03-21 21:28:00,1.0031,1.0031,1.0031,1.0031,299.07
coinbase,USDTUSDC,1679434200000,2023-03-21 21:30:00,1.0029,1.0034,1.0029,1.0034,1282.89
coinbase,USDTUSDC,1679434620000,2023-03-21 21:37:00,1.0026,1.0029,1.0026,1.0029,501.6
coinbase,USDTUSDC,1679435340000,2023-03-21 21:49:00,1.0028,1.003,1.0028,1.003,134.01
coinbase,USDTUSDC,1679436120000,2023-03-21 22:02:00,1.003,1.0031,1.003,1.0031,433.28
coinbase,USDTUSDC,1679436660000,2023-03-21 22:11:00,1.003,1.003,1.003,1.003,1131.59
coinbase,USDTUSDC,1679437020000,2023-03-21 22:17:00,1.0031,1.0031,1.0028,1.0028,895.86
coinbase,USDTUSDC,1679437080000,2023-03-21 22:18:00,1.0031,1.0031,1.0031,1.0031,1200
coinbase,USDTUSDC,1679437140000,2023-03-21 22:19:00,1.0031,1.0033,1.0031,1.0033,459.64
coinbase,USDTUSDC,1679438160000,2023-03-21 22:36:00,1.0033,1.0033,1.0033,1.0033,283.02
coinbase,USDTUSDC,1679438340000,2023-03-21 22:39:00,1.0033,1.0033,1.0032,1.0032,527.02
coinbase,USDTUSDC,1679438820000,2023-03-21 22:47:00,1.0032,1.0033,1.0032,1.0033,288.82
coinbase,USDTUSDC,1679438880000,2023-03-21 22:48:00,1.0033,1.0033,1.0033,1.0033,167.57
coinbase,USDTUSDC,1679438940000,2023-03-21 22:49:00,1.0033,1.0033,1.0033,1.0033,55.22
coinbase,USDTUSDC,1679439000000,2023-03-21 22:50:00,1.0033,1.0033,1.0032,1.0032,3.15
coinbase,USDTUSDC,1679439240000,2023-03-21 22:54:00,1.0033,1.0033,1.0032,1.0032,515.92
coinbase,USDTUSDC,1679439660000,2023-03-21 23:01:00,1.0033,1.0033,1.0033,1.0033,1.39
coinbase,USDTUSDC,1679440020000,2023-03-21 23:07:00,1.0031,1.0033,1.0031,1.0033,4.8
coinbase,USDTUSDC,1679441700000,2023-03-21 23:35:00,1.0033,1.0034,1.0033,1.0034,3234.01
coinbase,USDTUSDC,1679441940000,2023-03-21 23:39:00,1.0032,1.0032,1.0032,1.0032,1249.27
coinbase,USDTUSDC,1679442000000,2023-03-21 23:40:00,1.0031,1.0031,1.0031,1.0031,405.3
coinbase,USDTUSDC,1679442060000,2023-03-21 23:41:00,1.0031,1.0033,1.0031,1.0031,1745.9
coinbase,USDTUSDC,1679442300000,2023-03-21 23:45:00,1.0031,1.0033,1.0031,1.0033,767.55
coinbase,USDTUSDC,1679442540000,2023-03-21 23:49:00,1.003,1.003,1.003,1.003,21.68
coinbase,USDTUSDC,1679442600000,2023-03-21 23:50:00,1.003,1.003,1.003,1.003,7.65
coinbase,USDTUSDC,1679443140000,2023-03-21 23:59:00,1.0033,1.0033,1.003,1.003,7.55
coinbase,USDTUSDC,1679407200000,2023-03-21 14:00:00,1.0029,1.0029,1.0029,1.0029,1399.31
coinbase,USDTUSDC,1679407260000,2023-03-21 14:01:00,1.0029,1.0029,1.0028,1.0028,11.07
coinbase,USDTUSDC,1679407500000,2023-03-21 14:05:00,1.0031,1.0034,1.003,1.0034,15369.3
coinbase,USDTUSDC,1679407560000,2023-03-21 14:06:00,1.0034,1.0034,1.0031,1.0031,453.43
coinbase,USDTUSDC,1679407920000,2023-03-21 14:12:00,1.0031,1.0031,1.003,1.003,16.46
coinbase,USDTUSDC,1679408100000,2023-03-21 14:15:00,1.003,1.003,1.0029,1.0029,500.02
coinbase,USDTUSDC,1679408580000,2023-03-21 14:23:00,1.0029,1.0029,1.0028,1.0028,660.53
coinbase,USDTUSDC,1679408640000,2023-03-21 14:24:00,1.0027,1.0031,1.0027,1.0031,282.87
coinbase,USDTUSDC,1679409060000,2023-03-21 14:31:00,1.0031,1.0031,1.0027,1.0027,4.31
coinbase,USDTUSDC,1679409720000,2023-03-21 14:42:00,1.0027,1.0027,1.0027,1.0027,385
coinbase,USDTUSDC,1679409900000,2023-03-21 14:45:00,1.0026,1.0027,1.0026,1.0027,130.21
coinbase,USDTUSDC,1679410020000,2023-03-21 14:47:00,1.0026,1.003,1.0026,1.003,3632.49
coinbase,USDTUSDC,1679410140000,2023-03-21 14:49:00,1.0029,1.003,1.0029,1.003,2.99
coinbase,USDTUSDC,1679410620000,2023-03-21 14:57:00,1.0026,1.0028,1.0026,1.0028,1811.83
coinbase,USDTUSDC,1679410740000,2023-03-21 14:59:00,1.0025,1.0025,1.0024,1.0024,6205.85
coinbase,USDTUSDC,1679410980000,2023-03-21 15:03:00,1.0026,1.0026,1.0024,1.0024,60.31
coinbase,USDTUSDC,1679411220000,2023-03-21 15:07:00,1.0028,1.0028,1.0024,1.0024,1380.19
coinbase,USDTUSDC,1679411340000,2023-03-21 15:09:00,1.0024,1.0024,1.0024,1.0024,379.9
coinbase,USDTUSDC,1679411700000,2023-03-21 15:15:00,1.0026,1.0027,1.0026,1.0027,47.16
coinbase,USDTUSDC,1679411880000,2023-03-21 15:18:00,1.0027,1.0028,1.0027,1.0028,152.54
coinbase,USDTUSDC,1679412120000,2023-03-21 15:22:00,1.0025,1.0025,1.0025,1.0025,23.74
coinbase,USDTUSDC,1679412240000,2023-03-21 15:24:00,1.0026,1.0026,1.0026,1.0026,255.04
coinbase,USDTUSDC,1679412360000,2023-03-21 15:26:00,1.0026,1.0027,1.0025,1.0027,1488.66
coinbase,USDTUSDC,1679412540000,2023-03-21 15:29:00,1.0027,1.0027,1.0025,1.0025,193.8
coinbase,USDTUSDC,1679413020000,2023-03-21 15:37:00,1.0026,1.0027,1.0026,1.0027,50.85
coinbase,USDTUSDC,1679413260000,2023-03-21 15:41:00,1.0027,1.0027,1.0025,1.0025,2858.28
coinbase,USDTUSDC,1679413380000,2023-03-21 15:43:00,1.0027,1.0027,1.0026,1.0026,3341.42
coinbase,USDTUSDC,1679413440000,2023-03-21 15:44:00,1.0026,1.0029,1.0026,1.0029,5254.51
coinbase,USDTUSDC,1679413620000,2023-03-21 15:47:00,1.0028,1.0029,1.0028,1.0029,116.52
coinbase,USDTUSDC,1679413740000,2023-03-21 15:49:00,1.0028,1.0028,1.0028,1.0028,3.35
coinbase,USDTUSDC,1679413920000,2023-03-21 15:52:00,1.0028,1.0029,1.0028,1.0029,61.71
coinbase,USDTUSDC,1679414280000,2023-03-21 15:58:00,1.0029,1.0029,1.0028,1.0028,1042.93
coinbase,USDTUSDC,1679414340000,2023-03-21 15:59:00,1.0029,1.0029,1.0029,1.0029,2082.33
coinbase,USDTUSDC,1679414460000,2023-03-21 16:01:00,1.0029,1.0029,1.0028,1.0029,2082.36
coinbase,USDTUSDC,1679414520000,2023-03-21 16:02:00,1.0029,1.0029,1.0029,1.0029,461.83
coinbase,USDTUSDC,1679414580000,2023-03-21 16:03:00,1.0029,1.0029,1.0029,1.0029,626.49
coinbase,USDTUSDC,1679414640000,2023-03-21 16:04:00,1.0029,1.0029,1.0029,1.0029,2181.37
coinbase,USDTUSDC,1679414760000,2023-03-21 16:06:00,1.0029,1.003,1.0029,1.003,209.18
coinbase,USDTUSDC,1679415120000,2023-03-21 16:12:00,1.003,1.003,1.003,1.003,1194.25
coinbase,USDTUSDC,1679415240000,2023-03-21 16:14:00,1.003,1.003,1.0029,1.0029,415.11
coinbase,USDTUSDC,1679415360000,2023-03-21 16:16:00,1.0029,1.0029,1.0029,1.0029,46.83
coinbase,USDTUSDC,1679416020000,2023-03-21 16:27:00,1.0029,1.0029,1.0028,1.0028,148.29
coinbase,USDTUSDC,1679416140000,2023-03-21 16:29:00,1.0027,1.0027,1.0027,1.0027,307.7
coinbase,USDTUSDC,1679416200000,2023-03-21 16:30:00,1.0027,1.0029,1.0026,1.0026,2665.61
coinbase,USDTUSDC,1679416560000,2023-03-21 16:36:00,1.0029,1.003,1.0029,1.003,1293.86
coinbase,USDTUSDC,1679416620000,2023-03-21 16:37:00,1.003,1.003,1.0029,1.0029,103.19
coinbase,USDTUSDC,1679416680000,2023-03-21 16:38:00,1.0029,1.003,1.0029,1.003,1860.68
coinbase,USDTUSDC,1679416740000,2023-03-21 16:39:00,1.003,1.0031,1.003,1.0031,261.77
coinbase,USDTUSDC,1679416800000,2023-03-21 16:40:00,1.0031,1.0031,1.0029,1.0029,896.93
coinbase,USDTUSDC,1679416860000,2023-03-21 16:41:00,1.0027,1.0027,1.0026,1.0026,5005.96
coinbase,USDTUSDC,1679416980000,2023-03-21 16:43:00,1.0025,1.0028,1.0025,1.0028,17720.29
