symbol,open_time_ms,open_time_utc,open,high,low,close,volume,imputed,gap_size,impute_method
BTCUSDT,1677628800000,2023-03-01 00:00:00,23143.37,23153.25,23137.01,23150.67,0.84432,False,0,none
BTCUSDT,1677628860000,2023-03-01 00:01:00,23147.61,23151.83,23146.19,23148.91,0.75218,False,0,none
BTCUSDT,1677628920000,2023-03-01 00:02:00,23145.5,23163.33,23145.48,23159.61,0.90124,False,0,none
BTCUSDT,1677628980000,2023-03-01 00:03:00,23159.61,23164.99,23159.61,23164.98,0.15924,False,0,none
BTCUSDT,1677629040000,2023-03-01 00:04:00,23162.89,23178.66,23162.89,23178.66,0.90099,False,0,none
BTCUSDT,1677629100000,2023-03-01 00:05:00,23178.67,23181.49,23176.06,23176.06,0.47982,False,0,none
BTCUSDT,1677629160000,2023-03-01 00:06:00,23176.06,23176.06,23160.31,23160.31,0.48711,False,0,none
BTCUSDT,1677629220000,2023-03-01 00:07:00,23159.6,23159.6,23143.37,23143.37,0.45355,False,0,none
BTCUSDT,1677629280000,2023-03-01 00:08:00,23143.37,23155.43,23140.54,23142.67,0.52502,False,0,none
BTCUSDT,1677629340000,2023-03-01 00:09:00,23142.67,23142.67,23123.99,23124.4,0.44882,False,0,none
BTCUSDT,1677629400000,2023-03-01 00:10:00,23127.47,23135.59,23125.73,23129.07,1.14996,False,0,none
BTCUSDT,1677629460000,2023-03-01 00:11:00,23128.55,23133.48,23123.34,23133.48,0.45591,False,0,none
BTCUSDT,1677629520000,2023-03-01 00:12:00,23134.19,23168.07,23134.19,23164.12,0.83161,False,0,none
BTCUSDT,1677629580000,2023-03-01 00:13:00,23165.27,23172.65,23163.85,23168.09,0.82793,False,0,none
BTCUSDT,1677629640000,2023-03-01 00:14:00,23168.09,23168.09,23158.66,23165.41,1.04951,False,0,none
BTCUSDT,1677629700000,2023-03-01 00:15:00,23166.65,23177.94,23166.65,23172.31,3.0508,False,0,none
BTCUSDT,1677629760000,2023-03-01 00:16:00,23171.61,23171.61,23165.26,23171.61,0.52619,False,0,none
BTCUSDT,1677629820000,2023-03-01 00:17:00,23172.3,23183.61,23172.3,23181.02,0.44428,False,0,none
BTCUSDT,1677629880000,2023-03-01 00:18:00,23179.62,23180.77,23176.56,23180.77,0.2788,False,0,none
BTCUSDT,1677629940000,2023-03-01 00:19:00,23180.77,23185.02,23180.77,23185.02,0.23609,False,0,none
BTCUSDT,1677630000000,2023-03-01 00:20:00,23185.72,23185.72,23178.67,23185.72,0.69762,False,0,none
BTCUSDT,1677630060000,2023-03-01 00:21:00,23185.73,23199.81,23185.73,23199.78,0.45393,False,0,none
BTCUSDT,1677630120000,2023-03-01 00:22:00,23199.79,23219.6,23199.79,23204.05,2.46562,False,0,none
BTCUSDT,1677630180000,2023-03-01 00:23:00,23203.39,23203.39,23193.96,23193.96,0.68712,False,0,none
BTCUSDT,1677630240000,2023-03-01 00:24:00,23193.49,23212.55,23192.08,23210.13,1.0125,False,0,none
BTCUSDT,1677630300000,2023-03-01 00:25:00,23210.13,23210.14,23199.14,23199.14,12.42721,False,0,none
BTCUSDT,1677630360000,2023-03-01 00:26:00,23199.14,23212.75,23199.14,23208.32,6.12944,False,0,none
BTCUSDT,1677630420000,2023-03-01 00:27:00,23208.32,23208.32,23194.9,23198.41,2.81096,False,0,none
BTCUSDT,1677630480000,2023-03-01 00:28:00,23198.41,23198.41,23187.15,23190.67,2.25289,False,0,none
BTCUSDT,1677630540000,2023-03-01 00:29:00,23187.15,23189.73,23177.26,23177.27,3.03929,False,0,none
