exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
bitfinex,BTCUSD,1677628800000,2023-03-01 00:00:00,23146.0,23147.0,23146.0,23147.0,0.15159293
bitfinex,BTCUSD,1677628815000,2023-03-01 00:00:15,23148.0,23148.0,23148.0,23148.0,0.00011441
bitfinex,BTCUSD,1677628830000,2023-03-01 00:00:30,23147.0,23149.0,23147.0,23148.0,0.34804153
bitfinex,BTCUSD,1677628845000,2023-03-01 00:00:45,23151.0,23152.0,23151.0,23151.0,0.023993220000000003
bitfinex,BTCUSD,1677628860000,2023-03-01 00:01:00,23152.0,23152.0,23152.0,23152.0,7.781e-05
bitfinex,BTCUSD,1677628875000,2023-03-01 00:01:15,23151.0,23151.0,23148.0,23148.0,0.15000000000000002
bitfinex,BTCUSD,1677628890000,2023-03-01 00:01:30,23152.0,23155.0,23152.0,23155.0,0.005
bitfinex,BTCUSD,1677628905000,2023-03-01 00:01:45,23154.0,23154.0,23154.0,23154.0,0.1
bitfinex,BTCUSD,1677628920000,2023-03-01 00:02:00,23154.0,23154.0,23154.0,23154.0,0.0001096
bitfinex,BTCUSD,1677628935000,2023-03-01 00:02:15,23155.0,23155.0,23155.0,23155.0,0.00802219
bitfinex,BTCUSD,1677628950000,2023-03-01 00:02:30,23156.0,23157.0,23156.0,23157.0,0.02
bitfinex,BTCUSD,1677628980000,2023-03-01 00:03:00,23159.0,23160.0,23159.0,23160.0,0.02
bitfinex,BTCUSD,1677629010000,2023-03-01 00:03:30,23163.0,23165.0,23162.0,23165.0,0.02565303
bitfinex,BTCUSD,1677629025000,2023-03-01 00:03:45,23165.0,23165.0,23165.0,23165.0,0.00013794
bitfinex,BTCUSD,1677629055000,2023-03-01 00:04:15,23165.0,23165.0,23165.0,23165.0,0.00420902
bitfinex,BTCUSD,1677629070000,2023-03-01 00:04:30,23165.0,23173.0,23165.0,23173.0,0.05000001
bitfinex,BTCUSD,1677629085000,2023-03-01 00:04:45,23174.0,23178.0,23174.0,23178.0,0.03
bitfinex,BTCUSD,1677629100000,2023-03-01 00:05:00,23179.0,23179.0,23179.0,23179.0,0.01
bitfinex,BTCUSD,1677629115000,2023-03-01 00:05:15,23184.0,23187.0,23184.0,23187.0,0.1
bitfinex,BTCUSD,1677629130000,2023-03-01 00:05:30,23187.0,23187.0,23187.0,23187.0,0.00339999
bitfinex,BTCUSD,1677629145000,2023-03-01 00:05:45,23187.0,23187.0,23187.0,23187.0,0.02213609
bitfinex,BTCUSD,1677629160000,2023-03-01 00:06:00,23183.0,23183.0,23183.0,23183.0,0.00199999
bitfinex,BTCUSD,1677629190000,2023-03-01 00:06:30,23172.0,23173.0,23172.0,23172.0,0.3240882
bitfinex,BTCUSD,1677629205000,2023-03-01 00:06:45,23170.0,23170.0,23170.0,23170.0,0.00012867
bitfinex,BTCUSD,1677629220000,2023-03-01 00:07:00,23169.0,23169.0,23166.0,23166.0,0.05970217
bitfinex,BTCUSD,1677629235000,2023-03-01 00:07:15,23166.0,23166.0,23166.0,23166.0,0.02392138
bitfinex,BTCUSD,1677629250000,2023-03-01 00:07:30,23164.0,23164.0,23164.0,23164.0,0.0016492499999999999
bitfinex,BTCUSD,1677629265000,2023-03-01 00:07:45,23164.0,23164.0,23158.0,23158.0,0.02135075
bitfinex,BTCUSD,1677629280000,2023-03-01 00:08:00,23156.0,23159.0,23156.0,23159.0,1.02107584
bitfinex,BTCUSD,1677629310000,2023-03-01 00:08:30,23159.0,23159.0,23155.0,23155.0,0.00409609
bitfinex,BTCUSD,1677629325000,2023-03-01 00:08:45,23155.0,23155.0,23155.0,23155.0,0.00182093
bitfinex,BTCUSD,1677629340000,2023-03-01 00:09:00,23155.0,23155.0,23155.0,23155.0,0.00444861
bitfinex,BTCUSD,1677629355000,2023-03-01 00:09:15,23155.0,23155.0,23150.0,23150.0,0.03963437
bitfinex,BTCUSD,1677629370000,2023-03-01 00:09:30,23144.0,23145.0,23142.0,23142.0,0.011210620000000001
bitfinex,BTCUSD,1677629385000,2023-03-01 00:09:45,23141.0,23141.0,23140.0,23140.0,0.01380245
bitfinex,BTCUSD,1677629400000,2023-03-01 00:10:00,23141.0,23141.0,23141.0,23141.0,0.389
bitfinex,BTCUSD,1677629415000,2023-03-01 00:10:15,23140.0,23140.0,23140.0,23140.0,0.0060139799999999995
bitfinex,BTCUSD,1677629445000,2023-03-01 00:10:45,23140.0,23141.0,23140.0,23141.0,0.00025053
bitfinex,BTCUSD,1677629475000,2023-03-01 00:11:15,23140.0,23140.0,23140.0,23140.0,0.10450889000000001
bitfinex,BTCUSD,1677629490000,2023-03-01 00:11:30,23140.0,23141.0,23140.0,23140.0,0.01912255
bitfinex,BTCUSD,1677629520000,2023-03-01 00:12:00,23141.0,23145.0,23141.0,23145.0,0.69845946
bitfinex,BTCUSD,1677629535000,2023-03-01 00:12:15,23155.0,23155.0,23155.0,23155.0,0.00011523
bitfinex,BTCUSD,1677629550000,2023-03-01 00:12:30,23155.0,23155.0,23155.0,23155.0,0.22988477000000002
bitfinex,BTCUSD,1677629565000,2023-03-01 00:12:45,23159.0,23165.0,23159.0,23165.0,0.5588888
bitfinex,BTCUSD,1677629580000,2023-03-01 00:13:00,23165.0,23165.0,23165.0,23165.0,4.552111200000001
bitfinex,BTCUSD,1677629595000,2023-03-01 00:13:15,23168.0,23168.0,23168.0,23168.0,0.015
bitfinex,BTCUSD,1677629610000,2023-03-01 00:13:30,23169.0,23169.0,23169.0,23169.0,0.005
bitfinex,BTCUSD,1677629640000,2023-03-01 00:14:00,23168.0,23168.0,23168.0,23168.0,8.832e-05
bitfinex,BTCUSD,1677629655000,2023-03-01 00:14:15,23168.0,23168.0,23168.0,23168.0,8.729e-05
bitfinex,BTCUSD,1677629670000,2023-03-01 00:14:30,23168.0,23168.0,23160.0,23160.0,1.01119759
bitfinex,BTCUSD,1677629685000,2023-03-01 00:14:45,23168.0,23168.0,23166.0,23168.0,0.34794467
bitfinex,BTCUSD,1677629715000,2023-03-01 00:15:15,23169.0,23169.0,23169.0,23169.0,0.23588001
bitfinex,BTCUSD,1677629730000,2023-03-01 00:15:30,23170.0,23170.0,23170.0,23170.0,0.23
bitfinex,BTCUSD,1677629745000,2023-03-01 00:15:45,23172.0,23172.0,23172.0,23172.0,0.1919913
bitfinex,BTCUSD,1677629760000,2023-03-01 00:16:00,23170.0,23170.0,23170.0,23170.0,0.22
bitfinex,BTCUSD,1677629775000,2023-03-01 00:16:15,23172.0,23172.0,23172.0,23172.0,8.713e-05
bitfinex,BTCUSD,1677629790000,2023-03-01 00:16:30,23171.0,23171.0,23171.0,23171.0,9.947e-05
bitfinex,BTCUSD,1677629820000,2023-03-01 00:17:00,23173.0,23176.0,23173.0,23176.0,0.24299438
bitfinex,BTCUSD,1677629835000,2023-03-01 00:17:15,23179.0,23181.0,23179.0,23181.0,0.07312629000000001
bitfinex,BTCUSD,1677629865000,2023-03-01 00:17:45,23180.0,23181.0,23180.0,23181.0,0.00506907
bitfinex,BTCUSD,1677629895000,2023-03-01 00:18:15,23180.0,23181.0,23180.0,23181.0,0.00507713
bitfinex,BTCUSD,1677629910000,2023-03-01 00:18:30,23181.0,23181.0,23181.0,23181.0,0.00912514
bitfinex,BTCUSD,1677629925000,2023-03-01 00:18:45,23182.0,23182.0,23182.0,23182.0,0.005
bitfinex,BTCUSD,1677629955000,2023-03-01 00:19:15,23181.0,23181.0,23181.0,23181.0,6.145e-05
bitfinex,BTCUSD,1677629985000,2023-03-01 00:19:45,23182.0,23182.0,23182.0,23182.0,0.006
bitfinex,BTCUSD,1677630000000,2023-03-01 00:20:00,23183.0,23183.0,23183.0,23183.0,9.499e-05
bitfinex,BTCUSD,1677630030000,2023-03-01 00:20:30,23182.0,23182.0,23182.0,23182.0,6.577e-05
bitfinex,BTCUSD,1677630045000,2023-03-01 00:20:45,23183.0,23183.0,23183.0,23183.0,0.01190501
bitfinex,BTCUSD,1677630060000,2023-03-01 00:21:00,23184.0,23187.0,23184.0,23187.0,0.02
bitfinex,BTCUSD,1677630075000,2023-03-01 00:21:15,23193.0,23198.0,23192.0,23197.0,0.10015548
bitfinex,BTCUSD,1677630090000,2023-03-01 00:21:30,23196.0,23196.0,23196.0,23196.0,0.05006965000000001
bitfinex,BTCUSD,1677630105000,2023-03-01 00:21:45,23198.0,23198.0,23198.0,23198.0,0.005
bitfinex,BTCUSD,1677630120000,2023-03-01 00:22:00,23198.0,23198.0,23198.0,23198.0,0.005
bitfinex,BTCUSD,1677630135000,2023-03-01 00:22:15,23203.0,23212.0,23203.0,23212.0,0.05051886
bitfinex,BTCUSD,1677630150000,2023-03-01 00:22:30,23216.0,23223.0,23216.0,23223.0,0.13357634999999998
bitfinex,BTCUSD,1677630165000,2023-03-01 00:22:45,23222.0,23222.0,23208.0,23208.0,0.2408856
bitfinex,BTCUSD,1677630180000,2023-03-01 00:23:00,23207.0,23207.0,23207.0,23207.0,0.00132
bitfinex,BTCUSD,1677630195000,2023-03-01 00:23:15,23207.0,23207.0,23207.0,23207.0,8.136e-05
bitfinex,BTCUSD,1677630210000,2023-03-01 00:23:30,23207.0,23207.0,23207.0,23207.0,0.09453177
bitfinex,BTCUSD,1677630225000,2023-03-01 00:23:45,23203.0,23203.0,23203.0,23203.0,0.20891335
bitfinex,BTCUSD,1677630255000,2023-03-01 00:24:15,23206.0,23220.0,23206.0,23218.0,0.10009852000000001
bitfinex,BTCUSD,1677630270000,2023-03-01 00:24:30,23216.0,23216.0,23216.0,23216.0,0.07997923
bitfinex,BTCUSD,1677630285000,2023-03-01 00:24:45,23217.0,23217.0,23216.0,23216.0,0.00834695
bitfinex,BTCUSD,1677630300000,2023-03-01 00:25:00,23216.0,23217.0,23216.0,23216.0,0.14262294
bitfinex,BTCUSD,1677630315000,2023-03-01 00:25:15,23216.0,23217.0,23205.0,23205.0,0.46842188000000007
bitfinex,BTCUSD,1677630330000,2023-03-01 00:25:30,23203.0,23203.0,23203.0,23203.0,0.05143064
bitfinex,BTCUSD,1677630345000,2023-03-01 00:25:45,23203.0,23203.0,23203.0,23203.0,0.027378569999999998
bitfinex,BTCUSD,1677630360000,2023-03-01 00:26:00,23203.0,23204.0,23203.0,23204.0,0.03604038
bitfinex,BTCUSD,1677630375000,2023-03-01 00:26:15,23211.0,23212.0,23210.0,23211.0,0.037552119999999994
bitfinex,BTCUSD,1677630390000,2023-03-01 00:26:30,23209.0,23209.0,23209.0,23209.0,0.00336868
bitfinex,BTCUSD,1677630405000,2023-03-01 00:26:45,23209.0,23209.0,23209.0,23209.0,0.006149689999999999
bitfinex,BTCUSD,1677630420000,2023-03-01 00:27:00,23209.0,23209.0,23199.0,23199.0,0.06328885
bitfinex,BTCUSD,1677630450000,2023-03-01 00:27:30,23203.0,23203.0,23203.0,23203.0,0.00010752
bitfinex,BTCUSD,1677630465000,2023-03-01 00:27:45,23203.0,23203.0,23196.0,23196.0,0.01558847
bitfinex,BTCUSD,1677630480000,2023-03-01 00:28:00,23198.0,23198.0,23198.0,23198.0,0.06907028
bitfinex,BTCUSD,1677630510000,2023-03-01 00:28:30,23198.0,23198.0,23198.0,23198.0,8.833e-05
bitfinex,BTCUSD,1677630525000,2023-03-01 00:28:45,23198.0,23198.0,23195.0,23195.0,0.013218539999999999
bitfinex,BTCUSD,1677630540000,2023-03-01 00:29:00,23195.0,23195.0,23193.0,23193.0,0.0037659399999999997
bitfinex,BTCUSD,1677630555000,2023-03-01 00:29:15,23193.0,23193.0,23189.0,23189.0,0.04169245
bitfinex,BTCUSD,1677630570000,2023-03-01 00:29:30,23189.0,23189.0,23188.0,23188.0,0.01573988
bitfinex,BTCUSD,1677630585000,2023-03-01 00:29:45,23188.0,23188.0,23182.0,23182.0,0.03426579
bitfinex,BTCUSD,1677630615000,2023-03-01 00:30:15,23182.0,23182.0,23182.0,23182.0,9.338e-05
bitfinex,BTCUSD,1677630630000,2023-03-01 00:30:30,23183.0,23183.0,23183.0,23183.0,0.8623799999999999
bitfinex,BTCUSD,1677630645000,2023-03-01 00:30:45,23185.0,23185.0,23185.0,23185.0,0.00010352
bitfinex,BTCUSD,1677630660000,2023-03-01 00:31:00,23184.0,23186.0,23184.0,23186.0,0.00016972
bitfinex,BTCUSD,1677630690000,2023-03-01 00:31:30,23196.0,23197.0,23196.0,23197.0,0.01010307
bitfinex,BTCUSD,1677630705000,2023-03-01 00:31:45,23198.0,23198.0,23198.0,23198.0,9.188e-05
bitfinex,BTCUSD,1677630720000,2023-03-01 00:32:00,23199.0,23204.0,23199.0,23204.0,0.03301709
bitfinex,BTCUSD,1677630735000,2023-03-01 00:32:15,23206.0,23211.0,23206.0,23211.0,0.04
bitfinex,BTCUSD,1677630750000,2023-03-01 00:32:30,23213.0,23213.0,23213.0,23213.0,0.01
bitfinex,BTCUSD,1677630765000,2023-03-01 00:32:45,23212.0,23212.0,23204.0,23204.0,3.77923925
bitfinex,BTCUSD,1677630780000,2023-03-01 00:33:00,23213.0,23213.0,23213.0,23213.0,0.00507
bitfinex,BTCUSD,1677630795000,2023-03-01 00:33:15,23215.0,23216.0,23215.0,23216.0,0.010841690000000001
bitfinex,BTCUSD,1677630810000,2023-03-01 00:33:30,23214.0,23214.0,23214.0,23214.0,0.02239999
