exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
coinbase,BTCUSDT,1766145600000,2025-12-19 12:00:00,88230.92,88265.56,87765.23,87861.51,8.40315706
coinbase,BTCUSDT,1766149200000,2025-12-19 13:00:00,87862.3,88211.36,87834.95,87995.41,10.35562288
coinbase,BTCUSDT,1766152800000,2025-12-19 14:00:00,87979.44,88525.12,87554.93,88216.96,14.53851848
coinbase,BTCUSDT,1766156400000,2025-12-19 15:00:00,88188.92,89412.36,87703.43,87950.78,23.15677711
coinbase,BTCUSDT,1766160000000,2025-12-19 16:00:00,87921.62,88875.49,87863.46,88012.71,11.22159981
coinbase,BTCUSDT,1766163600000,2025-12-19 17:00:00,87974.71,88318.06,86885.57,86945.65,19.49587659
coinbase,BTCUSDT,1766167200000,2025-12-19 18:00:00,86941.9,87447.47,86838.97,87124.97,8.8052021
coinbase,BTCUSDT,1766170800000,2025-12-19 19:00:00,87146.65,88108.77,87103.22,87843.92,10.80007266
coinbase,BTCUSDT,1766174400000,2025-12-19 20:00:00,87851.83,88387.95,87595.55,88032.17,12.22306771
coinbase,BTCUSDT,1766178000000,2025-12-19 21:00:00,88034.98,88075.78,87796.15,87836.24,4.21768398
coinbase,BTCUSDT,1766181600000,2025-12-19 22:00:00,87843.42,88418.01,87843.42,88354.32,4.30986085
coinbase,BTCUSDT,1766185200000,2025-12-19 23:00:00,88311.74,88366.75,88142.03,88151.3,1.44981394
coinbase,BTCUSDT,1766188800000,2025-12-20 00:00:00,88156.11,88198.9,87971.03,88048.07,1.40798643
coinbase,BTCUSDT,1766192400000,2025-12-20 01:00:00,88035.74,88157.87,88035.74,88056.34,0.22798092
coinbase,BTCUSDT,1766196000000,2025-12-20 02:00:00,88068.45,88311.53,88013.07,88223.7,1.48443132
coinbase,BTCUSDT,1766199600000,2025-12-20 03:00:00,88236.86,88329.69,88189.95,88209.79,0.66769736
coinbase,BTCUSDT,1766203200000,2025-12-20 04:00:00,88212.74,88327.44,88128.17,88300.19,1.0204548
coinbase,BTCUSDT,1766206800000,2025-12-20 05:00:00,88342.96,88574.01,88280.52,88280.52,0.96316562
coinbase,BTCUSDT,1766210400000,2025-12-20 06:00:00,88280.52,88442.89,88280.52,88307.84,0.54241478
coinbase,BTCUSDT,1766214000000,2025-12-20 07:00:00,88330.08,88331.07,88188.01,88331.07,1.11739194
coinbase,BTCUSDT,1766217600000,2025-12-20 08:00:00,88357.2,88400.95,88229.93,88230.12,0.44119423
coinbase,BTCUSDT,1766221200000,2025-12-20 09:00:00,88270.26,88335.16,88198.73,88198.73,0.46100332
coinbase,BTCUSDT,1766224800000,2025-12-20 10:00:00,88205.95,88275.31,88124.85,88124.86,0.60783474
coinbase,BTCUSDT,1766228400000,2025-12-20 11:00:00,88112.97,88351.16,88112.95,88351.16,1.30821432
coinbase,BTCUSDT,1766232000000,2025-12-20 12:00:00,88308.87,88308.87,88185.24,88263.51,0.57123807
coinbase,BTCUSDT,1766235600000,2025-12-20 13:00:00,88290.76,88345.39,87822.75,88201.5,3.84784931
coinbase,BTCUSDT,1766239200000,2025-12-20 14:00:00,88172.29,88263.35,88029.5,88248.62,1.24226203
coinbase,BTCUSDT,1766242800000,2025-12-20 15:00:00,88226.92,88226.92,88020.83,88162.28,1.87065667
coinbase,BTCUSDT,1766246400000,2025-12-20 16:00:00,88240.57,88240.57,88134.51,88167.72,0.50030863
coinbase,BTCUSDT,1766250000000,2025-12-20 17:00:00,88180.36,88251.42,87761.61,88200.34,0.39602002
coinbase,BTCUSDT,1766253600000,2025-12-20 18:00:00,88201.22,88419.37,88156.16,88286.79,1.78935818
coinbase,BTCUSDT,1766257200000,2025-12-20 19:00:00,88254.57,88321.56,88203.21,88226.94,0.22342436
coinbase,BTCUSDT,1766260800000,2025-12-20 20:00:00,88211.61,88311.21,88211.61,88280.35,0.20945095
coinbase,BTCUSDT,1766264400000,2025-12-20 21:00:00,88302.9,88433.96,88181.22,88232.35,0.99828212
coinbase,BTCUSDT,1766268000000,2025-12-20 22:00:00,88230.85,88324.21,88141.84,88278.46,0.27322939
coinbase,BTCUSDT,1766271600000,2025-12-20 23:00:00,88260.01,88424.74,88260.01,88380.55,0.69099272
coinbase,BTCUSDT,1766275200000,2025-12-21 00:00:00,88350.94,88418.51,88299.23,88333.75,0.77125329
coinbase,BTCUSDT,1766278800000,2025-12-21 01:00:00,88317.85,88317.85,88025.19,88025.2,1.74175016
coinbase,BTCUSDT,1766282400000,2025-12-21 02:00:00,88050.18,88111.55,87894.19,87946.23,1.24183361
coinbase,BTCUSDT,1766286000000,2025-12-21 03:00:00,87949.75,88149.01,87949.75,88059.07,0.33436646
coinbase,BTCUSDT,1766289600000,2025-12-21 04:00:00,88087.25,88161.89,88041.75,88085.87,0.22192107
coinbase,BTCUSDT,1766293200000,2025-12-21 05:00:00,88077.68,88157.41,88070.89,88104.32,0.07863127
coinbase,BTCUSDT,1766296800000,2025-12-21 06:00:00,88183.31,88194.68,88089.49,88131.41,0.23437753
coinbase,BTCUSDT,1766300400000,2025-12-21 07:00:00,88147.04,88167.36,88058.44,88167.36,1.03805221
coinbase,BTCUSDT,1766304000000,2025-12-21 08:00:00,88164.56,88741.17,88164.56,88576.38,1.93550765
coinbase,BTCUSDT,1766307600000,2025-12-21 09:00:00,88595.33,89072.39,88496.94,88882.71,1.10716858
coinbase,BTCUSDT,1766311200000,2025-12-21 10:00:00,88903.85,88949.06,88595.18,88654.52,1.57567743
coinbase,BTCUSDT,1766314800000,2025-12-21 11:00:00,88640.33,88699.29,88578.12,88645.11,2.54812348
coinbase,BTCUSDT,1766318400000,2025-12-21 12:00:00,88591.72,88905.16,88479.08,88647.32,3.37322599
coinbase,BTCUSDT,1766322000000,2025-12-21 13:00:00,88635.65,88694.84,87608.03,87645.92,4.42509679
coinbase,BTCUSDT,1766325600000,2025-12-21 14:00:00,87629.19,88118.58,87629.19,88083.49,2.40781044
coinbase,BTCUSDT,1766329200000,2025-12-21 15:00:00,88020.91,88281.89,87817.42,88069.22,1.18313182
coinbase,BTCUSDT,1766332800000,2025-12-21 16:00:00,88053.37,88370,87991.63,88370,0.86265491
coinbase,BTCUSDT,1766336400000,2025-12-21 17:00:00,88376.45,88479.8,88272.85,88272.85,1.21641708
coinbase,BTCUSDT,1766340000000,2025-12-21 18:00:00,88251.85,88497.84,87950.36,88491.39,1.88781437
coinbase,BTCUSDT,1766343600000,2025-12-21 19:00:00,88493.88,88597.55,88207.75,88494.01,1.77165713
coinbase,BTCUSDT,1766347200000,2025-12-21 20:00:00,88489.8,88489.8,88223.31,88223.31,0.75868415
coinbase,BTCUSDT,1766350800000,2025-12-21 21:00:00,88194.95,88363.5,88122.94,88154.15,0.35860083
coinbase,BTCUSDT,1766354400000,2025-12-21 22:00:00,88137.37,88492.37,88137.37,88462.15,1.08723171
coinbase,BTCUSDT,1766358000000,2025-12-21 23:00:00,88495.35,88830.87,88389.68,88661.14,3.15776866
coinbase,BTCUSDT,1766361600000,2025-12-22 00:00:00,88676.37,89618.85,88616.04,88643.84,10.02134778
coinbase,BTCUSDT,1766365200000,2025-12-22 01:00:00,88611.16,89273.4,88539.74,88625.07,5.27607994
coinbase,BTCUSDT,1766368800000,2025-12-22 02:00:00,88617.6,88617.61,87937.28,88473.39,7.58486421
coinbase,BTCUSDT,1766372400000,2025-12-22 03:00:00,88479.97,88852.39,88337.77,88806.24,2.03486479
coinbase,BTCUSDT,1766376000000,2025-12-22 04:00:00,88758.37,89041.56,88758.37,88934.02,2.10012188
coinbase,BTCUSDT,1766379600000,2025-12-22 05:00:00,88928.18,88996.18,88766.28,88835.07,1.73844697
coinbase,BTCUSDT,1766383200000,2025-12-22 06:00:00,88816.97,89116.02,88736.91,89070.58,1.19761746
coinbase,BTCUSDT,1766386800000,2025-12-22 07:00:00,89116.02,89193.11,89037.04,89176.4,1.25218226
coinbase,BTCUSDT,1766390400000,2025-12-22 08:00:00,89170.37,89881.09,89092.26,89328.22,4.08998739
coinbase,BTCUSDT,1766394000000,2025-12-22 09:00:00,89320.87,89823.07,89299.88,89823.07,3.07502835
coinbase,BTCUSDT,1766397600000,2025-12-22 10:00:00,89832.92,89858.47,89640.56,89769.78,4.84747707
coinbase,BTCUSDT,1766401200000,2025-12-22 11:00:00,89749.64,90100.46,89669.95,89941.06,2.61470328
coinbase,BTCUSDT,1766404800000,2025-12-22 12:00:00,90023.32,90574.48,89885.58,90207.47,2.57385849
coinbase,BTCUSDT,1766408400000,2025-12-22 13:00:00,90217.56,90298.05,89725.92,89899.15,3.01148748
coinbase,BTCUSDT,1766412000000,2025-12-22 14:00:00,89918.71,90297.79,89447.78,90151.66,10.9401091
coinbase,BTCUSDT,1766415600000,2025-12-22 15:00:00,90192.73,90445.26,89202.51,89733.24,7.35052143
coinbase,BTCUSDT,1766419200000,2025-12-22 16:00:00,89745.06,90125.63,89529.71,89556.76,7.75722526
coinbase,BTCUSDT,1766422800000,2025-12-22 17:00:00,89565.77,89597.06,89099.05,89329.68,5.24844516
coinbase,BTCUSDT,1766426400000,2025-12-22 18:00:00,89354.56,89513.56,89146.15,89159.75,3.07916492
coinbase,BTCUSDT,1766430000000,2025-12-22 19:00:00,89128.3,89128.3,87992.26,88082.14,4.25619591
coinbase,BTCUSDT,1766433600000,2025-12-22 20:00:00,87968.4,88468.2,87919.33,88354.06,1.88218196
