exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHEUR,2023-03-01 00:00:00,1677628800000,1517.46,1518.34,1517.41,1518.34,15.47166453
coinbase,ETHEUR,2023-03-01 00:01:00,1677628860000,1518.13,1518.26,1517.73,1517.73,3.68733748
coinbase,ETHEUR,2023-03-01 00:02:00,1677628920000,1517.73,1518.07,1517.4,1517.94,2.30279222
coinbase,ETHEUR,2023-03-01 00:03:00,1677628980000,1518.17,1518.17,1517.98,1517.98,1.13376354
coinbase,ETHEUR,2023-03-01 00:04:00,1677629040000,1518.11,1518.26,1518.11,1518.26,0.16654522
coinbase,ETHEUR,2023-03-01 00:05:00,1677629100000,1518.29,1518.3,1518.02,1518.02,0.78213085
coinbase,ETHEUR,2023-03-01 00:06:00,1677629160000,1518.21,1518.22,1517.02,1517.02,16.08582601
coinbase,ETHEUR,2023-03-01 00:07:00,1677629220000,1516.69,1516.74,1516.34,1516.41,1.48623139
coinbase,ETHEUR,2023-03-01 00:08:00,1677629280000,1516.3,1516.72,1515.51,1515.51,1.33999634
coinbase,ETHEUR,2023-03-01 00:09:00,1677629340000,1515.29,1515.29,1513.62,1513.89,5.71210928
coinbase,ETHEUR,2023-03-01 00:10:00,1677629400000,1513.96,1514.6,1513.96,1514.42,4.48136442
coinbase,ETHEUR,2023-03-01 00:11:00,1677629460000,1513.67,1514.55,1513.67,1514.55,8.70692133
coinbase,ETHEUR,2023-03-01 00:12:00,1677629520000,1516.49,1518.48,1516.49,1518.48,5.7287215
coinbase,ETHEUR,2023-03-01 00:13:00,1677629580000,1517.85,1518.53,1517.85,1518.32,1.87446511
coinbase,ETHEUR,2023-03-01 00:14:00,1677629640000,1518.23,1518.82,1518.23,1518.74,1.8890723
coinbase,ETHEUR,2023-03-01 00:15:00,1677629700000,1519.34,1519.36,1518.63,1518.63,0.53651335
coinbase,ETHEUR,2023-03-01 00:16:00,1677629760000,1518.74,1519.08,1518.74,1519.07,3.34438178
coinbase,ETHEUR,2023-03-01 00:17:00,1677629820000,1519.84,1519.91,1519.7,1519.7,0.91067867
coinbase,ETHEUR,2023-03-01 00:18:00,1677629880000,1519.67,1519.84,1519.37,1519.84,4.97830255
coinbase,ETHEUR,2023-03-01 00:19:00,1677629940000,1519.62,1520.16,1519.54,1520.16,7.71775119
coinbase,ETHEUR,2023-03-01 00:20:00,1677630000000,1520.29,1520.3,1519.6,1519.86,2.77662222
coinbase,ETHEUR,2023-03-01 00:21:00,1677630060000,1520.31,1522.22,1519.97,1522.22,5.01949819
coinbase,ETHEUR,2023-03-01 00:22:00,1677630120000,1522.38,1522.38,1521.42,1521.42,9.42303347
coinbase,ETHEUR,2023-03-01 00:23:00,1677630180000,1521.42,1521.47,1521.01,1521.01,3.27
coinbase,ETHEUR,2023-03-01 00:24:00,1677630240000,1521.88,1522.35,1521.63,1521.64,5.43829322
coinbase,ETHEUR,2023-03-01 00:25:00,1677630300000,1521.64,1521.69,1520.56,1520.56,4.83220168
coinbase,ETHEUR,2023-03-01 00:26:00,1677630360000,1520.48,1521.83,1520.48,1521.33,2.74459713
coinbase,ETHEUR,2023-03-01 00:27:00,1677630420000,1521.61,1521.61,1520.01,1520.01,7.72017753
coinbase,ETHEUR,2023-03-01 00:29:00,1677630540000,1519.91,1520.2,1519.63,1520.18,2.37076187
