exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHUSD,2023-03-01 00:00:00,1677628800000,1605.59,1606.12,1604.67,1605.79,171.33637615
coinbase,ETHUSD,2023-03-01 00:01:00,1677628860000,1605.79,1606.05,1604.97,1604.98,125.00302176
coinbase,ETHUSD,2023-03-01 00:02:00,1677628920000,1604.92,1605.43,1604.48,1605.1,122.1869902
coinbase,ETHUSD,2023-03-01 00:03:00,1677628980000,1605.09,1605.47,1604.86,1605.12,38.30363432
coinbase,ETHUSD,2023-03-01 00:04:00,1677629040000,1605.12,1605.37,1605.08,1605.32,14.82815778
coinbase,ETHUSD,2023-03-01 00:05:00,1677629100000,1605.31,1605.44,1604.79,1605.14,32.68819045
coinbase,ETHUSD,2023-03-01 00:06:00,1677629160000,1605.15,1605.35,1604.74,1604.83,68.78548606
coinbase,ETHUSD,2023-03-01 00:07:00,1677629220000,1604.83,1604.83,1602.6,1602.6,64.96812431
coinbase,ETHUSD,2023-03-01 00:08:00,1677629280000,1602.62,1603.77,1602.26,1602.61,98.05743115
coinbase,ETHUSD,2023-03-01 00:09:00,1677629340000,1602.61,1602.61,1600.07,1600.46,231.69548098
coinbase,ETHUSD,2023-03-01 00:10:00,1677629400000,1600.46,1601.56,1600.2,1600.78,175.23188679
coinbase,ETHUSD,2023-03-01 00:11:00,1677629460000,1600.81,1601.69,1599.98,1601.69,122.59598701
coinbase,ETHUSD,2023-03-01 00:12:00,1677629520000,1601.8,1605.31,1601.79,1604.58,386.23315034
coinbase,ETHUSD,2023-03-01 00:13:00,1677629580000,1604.69,1605.64,1604.3,1605.48,133.55365885
coinbase,ETHUSD,2023-03-01 00:14:00,1677629640000,1605.44,1605.48,1604.64,1605.17,55.08706461
coinbase,ETHUSD,2023-03-01 00:15:00,1677629700000,1605.16,1606.33,1605.16,1605.83,86.38877256
coinbase,ETHUSD,2023-03-01 00:16:00,1677629760000,1605.82,1606.28,1605.07,1605.89,95.07057221
coinbase,ETHUSD,2023-03-01 00:17:00,1677629820000,1605.95,1606.97,1605.95,1606.71,128.08485989
coinbase,ETHUSD,2023-03-01 00:18:00,1677629880000,1606.7,1606.7,1605.93,1606.5,42.31025001
coinbase,ETHUSD,2023-03-01 00:19:00,1677629940000,1606.4,1607.04,1606.26,1607,32.11431359
coinbase,ETHUSD,2023-03-01 00:20:00,1677630000000,1606.98,1607.07,1606.21,1606.99,42.02858834
coinbase,ETHUSD,2023-03-01 00:21:00,1677630060000,1606.99,1607.81,1606.99,1607.64,26.61610448
coinbase,ETHUSD,2023-03-01 00:22:00,1677630120000,1607.72,1609.49,1607.59,1608.09,83.26349659
coinbase,ETHUSD,2023-03-01 00:23:00,1677630180000,1608.03,1608.2,1607.53,1607.53,17.07012815
coinbase,ETHUSD,2023-03-01 00:24:00,1677630240000,1607.49,1609.44,1607.48,1608.36,177.22337766
coinbase,ETHUSD,2023-03-01 00:25:00,1677630300000,1608.26,1608.6,1607.23,1607.23,41.36433402
coinbase,ETHUSD,2023-03-01 00:26:00,1677630360000,1607.03,1608.65,1607.02,1608.39,56.99787086
coinbase,ETHUSD,2023-03-01 00:27:00,1677630420000,1608.38,1608.42,1607.02,1607.05,92.62029928
