symbol,open_time_ms,open_time_utc,open,high,low,close,volume
BTCUSD,1679425200000,2023-03-21 19:00:00,28230.03,28234.87,28208.87,28227.71,1.34305
BTCUSD,1679425260000,2023-03-21 19:01:00,28227.39,28234.99,28209.28,28228.89,2.22880
BTCUSD,1679425320000,2023-03-21 19:02:00,28232.44,28232.44,28197.98,28224.07,1.49531
BTCUSD,1679425380000,2023-03-21 19:03:00,28221.17,28223.42,28205.85,28206.19,1.27564
BTCUSD,1679425440000,2023-03-21 19:04:00,28209.53,28224.81,28204.74,28204.74,0.71230
BTCUSD,1679425500000,2023-03-21 19:05:00,28212.01,28213.73,28201.81,28201.81,3.15785
BTCUSD,1679425560000,2023-03-21 19:06:00,28199.80,28218.13,28199.80,28218.13,0.97580
BTCUSD,1679425620000,2023-03-21 19:07:00,28220.42,28270.02,28220.42,28264.92,3.63034
BTCUSD,1679425680000,2023-03-21 19:08:00,28268.31,28287.69,28264.11,28264.11,4.06642
BTCUSD,1679425740000,2023-03-21 19:09:00,28260.48,28275.03,28245.78,28250.24,2.79248
BTCUSD,1679425800000,2023-03-21 19:10:00,28250.36,28258.84,28220.44,28220.44,1.84414
BTCUSD,1679425860000,2023-03-21 19:11:00,28220.46,28234.47,28216.38,28222.90,1.55913
BTCUSD,1679425920000,2023-03-21 19:12:00,28232.21,28264.11,28228.12,28256.02,2.87220
BTCUSD,1679425980000,2023-03-21 19:13:00,28262.15,28266.11,28237.63,28245.62,1.30604
BTCUSD,1679426040000,2023-03-21 19:14:00,28248.09,28260.09,28221.37,28221.37,3.88647
BTCUSD,1679426100000,2023-03-21 19:15:00,28228.31,28232.30,28211.32,28211.32,1.03405
BTCUSD,1679426160000,2023-03-21 19:16:00,28210.97,28214.63,28187.15,28202.75,2.85886
BTCUSD,1679426220000,2023-03-21 19:17:00,28208.38,28236.92,28208.38,28232.77,1.78743
BTCUSD,1679426280000,2023-03-21 19:18:00,28238.86,28243.81,28223.39,28241.33,1.96859
BTCUSD,1679426340000,2023-03-21 19:19:00,28234.27,28240.70,28226.60,28232.39,1.66831
BTCUSD,1679426400000,2023-03-21 19:20:00,28236.43,28240.05,28226.03,28236.04,0.51565
BTCUSD,1679426460000,2023-03-21 19:21:00,28237.84,28248.16,28226.12,28243.08,1.06750
BTCUSD,1679426520000,2023-03-21 19:22:00,28243.07,28247.42,28226.82,28239.93,0.52428
BTCUSD,1679426580000,2023-03-21 19:23:00,28242.43,28260.81,28242.43,28256.30,0.62943
BTCUSD,1679426640000,2023-03-21 19:24:00,28254.26,28257.24,28232.22,28251.60,1.65049
BTCUSD,1679426700000,2023-03-21 19:25:00,28247.39,28247.39,28219.08,28230.03,1.49737
BTCUSD,1679426760000,2023-03-21 19:26:00,28226.03,28238.74,28215.16,28236.10,2.32858
BTCUSD,1679426820000,2023-03-21 19:27:00,28235.99,28259.93,28235.99,28253.57,0.70133
BTCUSD,1679426880000,2023-03-21 19:28:00,28255.83,28265.30,28250.31,28258.86,1.29446
BTCUSD,1679426940000,2023-03-21 19:29:00,28252.57,28264.32,28244.46,28257.45,1.15275
BTCUSD,1679427000000,2023-03-21 19:30:00,28260.58,28270.00,28252.99,28258.88,0.54615
BTCUSD,1679427060000,2023-03-21 19:31:00,28254.90,28255.93,28231.45,28244.59,1.20915
BTCUSD,1679427120000,2023-03-21 19:32:00,28242.36,28261.86,28229.95,28255.90,3.93881
BTCUSD,1679427180000,2023-03-21 19:33:00,28257.38,28259.03,28243.28,28249.18,1.72930
BTCUSD,1679427240000,2023-03-21 19:34:00,28249.24,28255.78,28241.03,28241.03,1.21397
BTCUSD,1679427300000,2023-03-21 19:35:00,28244.63,28244.63,28228.23,28240.39,1.17043
BTCUSD,1679427360000,2023-03-21 19:36:00,28243.37,28262.62,28234.69,28255.45,4.56913
