symbol,open_time_ms,open_time_utc,open,high,low,close,volume
ETHUSDT,1679425200000,2023-03-21 19:00:00,1788.26,1789.06,1786.75,1788.25,22.5440
ETHUSDT,1679425260000,2023-03-21 19:01:00,1788.05,1788.43,1785.74,1787.12,34.6698
ETHUSDT,1679425320000,2023-03-21 19:02:00,1787.19,1787.21,1785.63,1786.81,8.1865
ETHUSDT,1679425380000,2023-03-21 19:03:00,1786.81,1786.81,1785.43,1785.84,11.5347
ETHUSDT,1679425440000,2023-03-21 19:04:00,1785.56,1787.03,1785.37,1785.77,12.6551
ETHUSDT,1679425500000,2023-03-21 19:05:00,1785.81,1786.93,1785.39,1786.47,16.2586
ETHUSDT,1679425560000,2023-03-21 19:06:00,1786.20,1788.48,1786.02,1788.48,21.6315
ETHUSDT,1679425620000,2023-03-21 19:07:00,1789.08,1793.13,1789.08,1793.13,26.5274
ETHUSDT,1679425680000,2023-03-21 19:08:00,1793.36,1794.56,1791.53,1792.96,39.1023
ETHUSDT,1679425740000,2023-03-21 19:09:00,1793.23,1794.36,1789.57,1790.97,54.3064
ETHUSDT,1679425800000,2023-03-21 19:10:00,1791.71,1791.76,1788.92,1789.00,25.5264
ETHUSDT,1679425860000,2023-03-21 19:11:00,1789.00,1789.90,1789.00,1789.42,17.1620
ETHUSDT,1679425920000,2023-03-21 19:12:00,1789.63,1795.07,1789.63,1793.00,57.1781
ETHUSDT,1679425980000,2023-03-21 19:13:00,1793.40,1793.78,1792.02,1792.41,9.7822
ETHUSDT,1679426040000,2023-03-21 19:14:00,1792.20,1793.30,1790.25,1790.27,68.5111
ETHUSDT,1679426100000,2023-03-21 19:15:00,1790.28,1791.23,1789.92,1790.45,36.9330
ETHUSDT,1679426160000,2023-03-21 19:16:00,1789.91,1790.25,1787.56,1789.15,44.9968
ETHUSDT,1679426220000,2023-03-21 19:17:00,1789.18,1792.21,1789.18,1792.20,49.6469
ETHUSDT,1679426280000,2023-03-21 19:18:00,1792.26,1792.81,1791.15,1792.00,23.6879
ETHUSDT,1679426340000,2023-03-21 19:19:00,1792.00,1792.00,1790.58,1790.84,14.6660
ETHUSDT,1679426400000,2023-03-21 19:20:00,1790.35,1791.44,1790.27,1791.03,23.1719
ETHUSDT,1679426460000,2023-03-21 19:21:00,1791.02,1792.25,1790.67,1791.49,18.2376
ETHUSDT,1679426520000,2023-03-21 19:22:00,1791.48,1792.14,1790.71,1791.67,5.3872
ETHUSDT,1679426580000,2023-03-21 19:23:00,1791.68,1793.35,1791.68,1793.32,7.2781
ETHUSDT,1679426640000,2023-03-21 19:24:00,1793.32,1793.85,1791.97,1793.34,17.0444
ETHUSDT,1679426700000,2023-03-21 19:25:00,1793.23,1793.49,1791.24,1791.38,8.3423
ETHUSDT,1679426760000,2023-03-21 19:26:00,1791.64,1794.76,1791.64,1794.49,20.2717
ETHUSDT,1679426820000,2023-03-21 19:27:00,1793.45,1796.77,1793.45,1796.67,17.7581
ETHUSDT,1679426880000,2023-03-21 19:28:00,1796.79,1799.12,1796.79,1797.67,42.9575
ETHUSDT,1679426940000,2023-03-21 19:29:00,1797.32,1797.67,1796.07,1797.46,10.3932
ETHUSDT,1679427000000,2023-03-21 19:30:00,1797.46,1798.27,1796.62,1796.91,6.3664
ETHUSDT,1679427060000,2023-03-21 19:31:00,1796.86,1796.86,1795.23,1795.89,22.2642
ETHUSDT,1679427120000,2023-03-21 19:32:00,1795.70,1797.17,1795.25,1795.99,15.2990
ETHUSDT,1679427180000,2023-03-21 19:33:00,1795.83,1795.92,1794.37,1794.76,11.0455
ETHUSDT,1679427240000,2023-03-21 19:34:00,1794.70,1794.98,1793.52,1793.88,10.1731
ETHUSDT,1679427300000,2023-03-21 19:35:00,1793.75,1794.04,1792.87,1793.30,4.8454
ETHUSDT,1679427360000,2023-03-21 19:36:00,1793.31,1794.99,1793.31,1794.83,12.2686
ETHUSDT,1679427420000,2023-03-21 19:37:00,1794.73,1795.70,1794.57,1794.81,3.5867
ETHUSDT,1679427480000,2023-03-21 19:38:00,1794.59,1794.59,1793.63,1794.29,9.2046
ETHUSDT,1679427540000,2023-03-21 19:39:00,1794.00,1795.69,1793.86,1795.69,4.0735
ETHUSDT,1679427600000,2023-03-21 19:40:00,1795.76,1795.78,1794.48,1795.19,11.9747
ETHUSDT,1679427660000,2023-03-21 19:41:00,1795.06,1796.82,1793.86,1796.82,6.5027
ETHUSDT,1679427720000,2023-03-21 19:42:00,1796.87,1797.77,1796.18,1796.66,4.2690
ETHUSDT,1679427780000,2023-03-21 19:43:00,1796.35,1797.52,1795.62,1797.52,6.8873
ETHUSDT,1679427840000,2023-03-21 19:44:00,1797.67,1799.20,1797.67,1798.62,7.2383
ETHUSDT,1679427900000,2023-03-21 19:45:00,1798.38,1798.40,1795.25,1795.35,14.0540
ETHUSDT,1679427960000,2023-03-21 19:46:00,1794.44,1794.58,1793.86,1794.47,3.0431
ETHUSDT,1679428020000,2023-03-21 19:47:00,1794.57,1795.89,1794.22,1795.89,18.9998
ETHUSDT,1679428080000,2023-03-21 19:48:00,1795.88,1795.88,1793.54,1793.54,8.4619
ETHUSDT,1679428140000,2023-03-21 19:49:00,1794.21,1795.22,1793.98,1794.97,5.2999
ETHUSDT,1679428200000,2023-03-21 19:50:00,1795.12,1795.12,1791.71,1793.87,34.0446
ETHUSDT,1679428260000,2023-03-21 19:51:00,1793.13,1794.17,1792.40,1793.71,8.2677
ETHUSDT,1679428320000,2023-03-21 19:52:00,1793.71,1794.16,1793.31,1793.33,37.5558
ETHUSDT,1679428380000,2023-03-21 19:53:00,1793.14,1794.21,1793.14,1794.21,13.6794
ETHUSDT,1679428440000,2023-03-21 19:54:00,1794.89,1794.89,1793.14,1793.14,3.0615
ETHUSDT,1679428500000,2023-03-21 19:55:00,1793.13,1794.30,1792.78,1793.77,5.7885
ETHUSDT,1679428560000,2023-03-21 19:56:00,1793.53,1794.84,1793.50,1793.78,3.5075
ETHUSDT,1679428620000,2023-03-21 19:57:00,1793.80,1793.93,1792.49,1793.00,8.5748
ETHUSDT,1679428680000,2023-03-21 19:58:00,1792.99,1793.21,1791.41,1791.55,13.9028
ETHUSDT,1679428740000,2023-03-21 19:59:00,1791.62,1791.62,1789.45,1790.62,26.5840
ETHUSDT,1679428800000,2023-03-21 20:00:00,1790.98,1792.96,1790.98,1791.83,10.6596
ETHUSDT,1679428860000,2023-03-21 20:01:00,1791.93,1792.16,1789.72,1790.30,8.7478
ETHUSDT,1679428920000,2023-03-21 20:02:00,1790.62,1791.27,1789.88,1790.53,8.0569
ETHUSDT,1679428980000,2023-03-21 20:03:00,1790.62,1790.80,1789.96,1790.80,20.8671
ETHUSDT,1679429040000,2023-03-21 20:04:00,1790.80,1791.33,1787.59,1789.71,34.1319
ETHUSDT,1679429100000,2023-03-21 20:05:00,1789.91,1791.69,1789.90,1791.43,8.0978
ETHUSDT,1679429160000,2023-03-21 20:06:00,1791.51,1792.67,1791.26,1792.11,11.5415
ETHUSDT,1679429220000,2023-03-21 20:07:00,1792.05,1793.24,1791.82,1792.63,12.6148
ETHUSDT,1679429280000,2023-03-21 20:08:00,1792.44,1792.63,1790.63,1790.63,6.3284
ETHUSDT,1679429340000,2023-03-21 20:09:00,1790.74,1791.99,1790.74,1791.99,4.6021
ETHUSDT,1679429400000,2023-03-21 20:10:00,1792.06,1792.13,1790.97,1791.04,0.7350
ETHUSDT,1679429460000,2023-03-21 20:11:00,1790.92,1791.83,1790.92,1791.74,14.3070
ETHUSDT,1679429520000,2023-03-21 20:12:00,1791.35,1792.29,1791.35,1792.29,2.1223
