symbol,open_time_ms,open_time_utc,open,high,low,close,volume
ETHUSD,1679425200000,2023-03-21 19:00:00,1794.43,1795.21,1792.47,1794.25,35.7520
ETHUSD,1679425260000,2023-03-21 19:01:00,1794.22,1794.41,1791.66,1793.14,65.7357
ETHUSD,1679425320000,2023-03-21 19:02:00,1793.14,1793.23,1791.37,1792.53,29.3680
ETHUSD,1679425380000,2023-03-21 19:03:00,1792.53,1793.00,1791.48,1791.70,24.0358
ETHUSD,1679425440000,2023-03-21 19:04:00,1791.82,1793.30,1791.66,1791.82,24.4774
ETHUSD,1679425500000,2023-03-21 19:05:00,1791.92,1792.89,1791.39,1792.76,30.9981
ETHUSD,1679425560000,2023-03-21 19:06:00,1792.49,1795.25,1792.09,1795.25,36.7468
ETHUSD,1679425620000,2023-03-21 19:07:00,1795.29,1799.87,1795.11,1799.71,62.1490
ETHUSD,1679425680000,2023-03-21 19:08:00,1799.47,1800.86,1797.37,1799.08,68.0353
ETHUSD,1679425740000,2023-03-21 19:09:00,1799.50,1800.41,1795.77,1797.64,96.4607
ETHUSD,1679425800000,2023-03-21 19:10:00,1797.83,1798.05,1795.22,1795.23,26.5693
ETHUSD,1679425860000,2023-03-21 19:11:00,1795.44,1796.31,1795.29,1795.95,21.2706
ETHUSD,1679425920000,2023-03-21 19:12:00,1795.91,1801.37,1795.70,1799.70,111.7884
ETHUSD,1679425980000,2023-03-21 19:13:00,1799.50,1800.22,1798.22,1798.54,24.8820
ETHUSD,1679426040000,2023-03-21 19:14:00,1798.68,1799.87,1796.13,1796.50,59.5905
ETHUSD,1679426100000,2023-03-21 19:15:00,1796.55,1798.29,1796.03,1796.03,41.9985
ETHUSD,1679426160000,2023-03-21 19:16:00,1796.11,1796.69,1793.84,1795.50,52.3070
ETHUSD,1679426220000,2023-03-21 19:17:00,1795.70,1798.84,1795.47,1798.44,62.7590
ETHUSD,1679426280000,2023-03-21 19:18:00,1798.58,1799.28,1797.76,1798.47,38.9118
ETHUSD,1679426340000,2023-03-21 19:19:00,1798.25,1798.36,1796.91,1796.91,22.8535
ETHUSD,1679426400000,2023-03-21 19:20:00,1797.09,1797.82,1796.61,1797.82,16.8997
ETHUSD,1679426460000,2023-03-21 19:21:00,1797.41,1798.62,1797.08,1797.88,24.2287
ETHUSD,1679426520000,2023-03-21 19:22:00,1797.83,1798.61,1797.28,1798.18,11.0321
ETHUSD,1679426580000,2023-03-21 19:23:00,1798.23,1799.75,1798.21,1799.55,24.6354
ETHUSD,1679426640000,2023-03-21 19:24:00,1799.53,1800.08,1798.26,1799.59,20.4862
ETHUSD,1679426700000,2023-03-21 19:25:00,1799.50,1799.96,1797.49,1798.13,25.8334
ETHUSD,1679426760000,2023-03-21 19:26:00,1798.30,1801.16,1798.14,1801.04,40.4400
ETHUSD,1679426820000,2023-03-21 19:27:00,1800.50,1803.30,1799.97,1803.22,42.8716
ETHUSD,1679426880000,2023-03-21 19:28:00,1803.34,1805.62,1803.10,1804.00,63.3520
ETHUSD,1679426940000,2023-03-21 19:29:00,1803.68,1804.53,1802.46,1804.27,31.1689
ETHUSD,1679427000000,2023-03-21 19:30:00,1804.32,1804.75,1803.00,1803.23,25.8117
ETHUSD,1679427060000,2023-03-21 19:31:00,1803.09,1803.53,1801.60,1802.38,28.1845
ETHUSD,1679427120000,2023-03-21 19:32:00,1802.50,1803.59,1801.61,1802.01,30.0472
ETHUSD,1679427180000,2023-03-21 19:33:00,1802.00,1802.72,1800.83,1801.50,17.4565
ETHUSD,1679427240000,2023-03-21 19:34:00,1801.07,1801.80,1800.00,1800.40,25.1069
ETHUSD,1679427300000,2023-03-21 19:35:00,1800.45,1800.80,1799.33,1800.42,11.5144
ETHUSD,1679427360000,2023-03-21 19:36:00,1800.32,1801.76,1800.00,1801.59,11.9473
ETHUSD,1679427420000,2023-03-21 19:37:00,1801.35,1802.28,1801.29,1801.69,10.4639
ETHUSD,1679427480000,2023-03-21 19:38:00,1801.36,1801.48,1800.23,1800.65,14.9848
ETHUSD,1679427540000,2023-03-21 19:39:00,1800.60,1802.81,1800.50,1802.55,13.5285
ETHUSD,1679427600000,2023-03-21 19:40:00,1802.47,1802.54,1800.98,1801.96,17.4981
ETHUSD,1679427660000,2023-03-21 19:41:00,1801.59,1803.80,1800.50,1803.55,22.0758
ETHUSD,1679427720000,2023-03-21 19:42:00,1803.28,1804.58,1802.60,1803.35,17.2056
ETHUSD,1679427780000,2023-03-21 19:43:00,1803.41,1804.03,1802.22,1803.89,15.8562
ETHUSD,1679427840000,2023-03-21 19:44:00,1804.13,1805.89,1804.13,1805.43,19.0781
ETHUSD,1679427900000,2023-03-21 19:45:00,1805.18,1805.18,1801.61,1801.61,30.1512
ETHUSD,1679427960000,2023-03-21 19:46:00,1801.50,1801.50,1800.10,1801.11,9.7097
ETHUSD,1679428020000,2023-03-21 19:47:00,1801.35,1802.53,1800.73,1802.43,18.6225
ETHUSD,1679428080000,2023-03-21 19:48:00,1802.06,1802.06,1799.91,1800.50,18.8492
ETHUSD,1679428140000,2023-03-21 19:49:00,1801.00,1801.80,1800.44,1801.51,11.7701
ETHUSD,1679428200000,2023-03-21 19:50:00,1801.33,1801.53,1797.75,1799.50,39.6018
ETHUSD,1679428260000,2023-03-21 19:51:00,1799.36,1800.67,1799.19,1799.88,14.8495
ETHUSD,1679428320000,2023-03-21 19:52:00,1799.85,1800.54,1799.22,1799.36,19.5513
ETHUSD,1679428380000,2023-03-21 19:53:00,1799.51,1801.07,1799.51,1801.02,25.5873
ETHUSD,1679428440000,2023-03-21 19:54:00,1800.96,1800.96,1799.33,1799.45,13.8948
ETHUSD,1679428500000,2023-03-21 19:55:00,1799.06,1800.72,1798.97,1800.17,12.6880
ETHUSD,1679428560000,2023-03-21 19:56:00,1799.76,1801.04,1799.73,1799.90,13.8350
ETHUSD,1679428620000,2023-03-21 19:57:00,1800.14,1800.30,1798.39,1799.23,11.5658
ETHUSD,1679428680000,2023-03-21 19:58:00,1799.50,1799.64,1797.69,1797.99,12.3018
