exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume,volume_base_ccy,volume_quote_ccy,confirm
okx,BTCUSDT,1677628800000,2023-03-01 00:00:00,23143.1,23150.9,23133.4,23148.1,2.9060661,67250.25415474,67250.25415474,1
okx,BTCUSDT,1677628860000,2023-03-01 00:01:00,23147.5,23148.2,23139.9,23145.3,1.58259621,36625.51181399,36625.51181399,1
okx,BTCUSDT,1677628920000,2023-03-01 00:02:00,23143.9,23157.2,23143.8,23157.2,0.28240258,6538.17061538,6538.17061538,1
okx,BTCUSDT,1677628980000,2023-03-01 00:03:00,23157.2,23162.4,23157.1,23160.1,1.59245982,36880.02344352,36880.02344352,1
okx,BTCUSDT,1677629040000,2023-03-01 00:04:00,23160.1,23175.2,23160.1,23175.2,0.58042507,13447.01748645,13447.01748645,1
okx,BTCUSDT,1677629100000,2023-03-01 00:05:00,23178.7,23179.3,23173.6,23175.3,1.19839926,27774.03664565,27774.03664565,1
okx,BTCUSDT,1677629160000,2023-03-01 00:06:00,23174.1,23174.1,23157.1,23157.1,1.42147143,32923.44114141,32923.44114141,1
okx,BTCUSDT,1677629220000,2023-03-01 00:07:00,23157.1,23157.1,23136.3,23136.3,1.53892175,35622.542364,35622.542364,1
okx,BTCUSDT,1677629280000,2023-03-01 00:08:00,23136.3,23154.3,23136.3,23140,0.34224204,7920.04123896,7920.04123896,1
okx,BTCUSDT,1677629340000,2023-03-01 00:09:00,23138.6,23138.6,23122,23122,0.35302599,8165.45788945,8165.45788945,1
okx,BTCUSDT,1677629400000,2023-03-01 00:10:00,23122,23133.5,23122,23127.2,2.82748988,65395.64691479,65395.64691479,1
okx,BTCUSDT,1677629460000,2023-03-01 00:11:00,23126.2,23138.8,23120,23136.4,11.41198641,264011.50022172,264011.50022172,1
okx,BTCUSDT,1677629520000,2023-03-01 00:12:00,23136.4,23165.9,23136.4,23165.9,2.81006604,65046.54755167,65046.54755167,1
okx,BTCUSDT,1677629580000,2023-03-01 00:13:00,23163.8,23171,23161.8,23166.1,1.75171828,40582.62071211,40582.62071211,1
okx,BTCUSDT,1677629640000,2023-03-01 00:14:00,23166.2,23166.2,23158.7,23163.6,1.34984067,31265.66400697,31265.66400697,1
okx,BTCUSDT,1677629700000,2023-03-01 00:15:00,23163.5,23173.7,23163.5,23168.3,2.24606167,52044.11826674,52044.11826674,1
okx,BTCUSDT,1677629760000,2023-03-01 00:16:00,23168.3,23172.9,23161.5,23172.9,0.85543791,19819.60335275,19819.60335275,1
