exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume
bitfinex,ETHUSD,1677628815000,2023-03-01 00:00:15,1605.6,1605.6,1605.6,1605.6,1.73103414
bitfinex,ETHUSD,1677628830000,2023-03-01 00:00:30,1605.5,1605.9,1605.4,1605.8,6.14134699
bitfinex,ETHUSD,1677628845000,2023-03-01 00:00:45,1605.9,1606.2,1605.9,1606.2,0.6525
bitfinex,ETHUSD,1677628860000,2023-03-01 00:01:00,1606.2,1606.2,1606.2,1606.2,3.59544835
bitfinex,ETHUSD,1677628875000,2023-03-01 00:01:15,1605.9,1605.9,1605.9,1605.9,1.73066604
bitfinex,ETHUSD,1677628890000,2023-03-01 00:01:30,1606.0,1606.0,1606.0,1606.0,0.00204741
bitfinex,ETHUSD,1677628920000,2023-03-01 00:02:00,1605.8,1605.9,1605.7,1605.7,0.53927666
bitfinex,ETHUSD,1677628950000,2023-03-01 00:02:30,1605.6,1605.6,1605.6,1605.6,0.00265059
bitfinex,ETHUSD,1677628965000,2023-03-01 00:02:45,1605.6,1605.6,1605.6,1605.6,0.00213934
bitfinex,ETHUSD,1677629010000,2023-03-01 00:03:30,1605.7,1605.7,1605.7,1605.7,0.00388866
bitfinex,ETHUSD,1677629025000,2023-03-01 00:03:45,1605.7,1605.7,1605.7,1605.7,0.42453836
bitfinex,ETHUSD,1677629055000,2023-03-01 00:04:15,1605.6,1605.6,1605.6,1605.6,0.00257718
bitfinex,ETHUSD,1677629070000,2023-03-01 00:04:30,1605.6,1605.6,1605.6,1605.6,0.00369943
bitfinex,ETHUSD,1677629115000,2023-03-01 00:05:15,1605.7,1605.7,1605.7,1605.7,0.00348907
bitfinex,ETHUSD,1677629145000,2023-03-01 00:05:45,1605.7,1605.7,1605.5,1605.5,0.00566307
bitfinex,ETHUSD,1677629175000,2023-03-01 00:06:15,1605.5,1605.5,1605.5,1605.5,0.00252071
bitfinex,ETHUSD,1677629190000,2023-03-01 00:06:30,1605.3,1605.3,1605.3,1605.3,0.00264849
bitfinex,ETHUSD,1677629205000,2023-03-01 00:06:45,1605.3,1605.3,1605.3,1605.3,0.00365341
bitfinex,ETHUSD,1677629220000,2023-03-01 00:07:00,1605.1,1605.1,1604.6,1604.6,0.4996447
bitfinex,ETHUSD,1677629235000,2023-03-01 00:07:15,1604.5,1604.6,1604.4,1604.6,0.14475760000000001
bitfinex,ETHUSD,1677629250000,2023-03-01 00:07:30,1604.4,1604.4,1604.0,1604.0,0.18996021000000002
bitfinex,ETHUSD,1677629265000,2023-03-01 00:07:45,1604.0,1604.0,1603.7,1603.7,0.15281301
bitfinex,ETHUSD,1677629280000,2023-03-01 00:08:00,1604.3,1604.3,1604.3,1604.3,1.73244079
bitfinex,ETHUSD,1677629295000,2023-03-01 00:08:15,1603.7,1603.7,1603.6,1603.6,0.01568452
bitfinex,ETHUSD,1677629310000,2023-03-01 00:08:30,1603.6,1603.6,1603.4,1603.4,0.16127349000000002
bitfinex,ETHUSD,1677629325000,2023-03-01 00:08:45,1603.4,1603.4,1603.3,1603.3,1.10130304
bitfinex,ETHUSD,1677629340000,2023-03-01 00:09:00,1603.3,1603.3,1603.3,1603.3,0.57552173
bitfinex,ETHUSD,1677629355000,2023-03-01 00:09:15,1603.3,1603.3,1602.9,1602.9,0.8296465000000001
bitfinex,ETHUSD,1677629370000,2023-03-01 00:09:30,1602.9,1602.9,1602.1,1602.1,3.82492126
bitfinex,ETHUSD,1677629385000,2023-03-01 00:09:45,1601.9,1601.9,1601.0,1601.0,4.8906108
bitfinex,ETHUSD,1677629415000,2023-03-01 00:10:15,1601.1,1601.1,1601.1,1601.1,0.00374018
bitfinex,ETHUSD,1677629430000,2023-03-01 00:10:30,1601.0,1601.0,1601.0,1601.0,1.47447087
bitfinex,ETHUSD,1677629460000,2023-03-01 00:11:00,1601.0,1601.0,1601.0,1601.0,0.00336574
bitfinex,ETHUSD,1677629475000,2023-03-01 00:11:15,1600.9,1600.9,1600.9,1600.9,0.07743612999999999
bitfinex,ETHUSD,1677629490000,2023-03-01 00:11:30,1600.9,1600.9,1600.6,1600.6,0.1
