symbol,time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count,imputed,gap_size,impute_method
BTCUSDC,2023-03-01T00:00:00.0000000Z,2023-03-01T00:01:00.0000000Z,23151.53,23151.53,23150.0,23150.0,0.02125883,2,False,0,none
BTCUSDC,2023-03-01T00:01:00.0000000Z,2023-03-01T00:02:00.0000000Z,23148.36,23148.36,23148.36,23148.36,0.00491792,1,False,0,none
BTCUSDC,2023-03-01T00:02:00.0000000Z,2023-03-01T00:03:00.0000000Z,23148.36,23148.36,23148.36,23148.36,0.0,0,True,1,LOCF
BTCUSDC,2023-03-01T00:03:00.0000000Z,2023-03-01T00:04:00.0000000Z,23158.94,23160.1,23158.94,23160.1,0.00035057,2,False,0,none
BTCUSDC,2023-03-01T00:04:00.0000000Z,2023-03-01T00:05:00.0000000Z,23160.1,23162.0,23160.1,23162.0,0.00252705,2,False,0,none
BTCUSDC,2023-03-01T00:05:00.0000000Z,2023-03-01T00:06:00.0000000Z,23160.1,23162.0,23160.1,23162.0,0.0,0,True,3,LOCF
BTCUSDC,2023-03-01T00:06:00.0000000Z,2023-03-01T00:07:00.0000000Z,23160.1,23162.0,23160.1,23162.0,0.0,0,True,3,LOCF
BTCUSDC,2023-03-01T00:07:00.0000000Z,2023-03-01T00:08:00.0000000Z,23160.1,23162.0,23160.1,23162.0,0.0,0,True,3,LOCF
BTCUSDC,2023-03-01T00:08:00.0000000Z,2023-03-01T00:09:00.0000000Z,23138.85,23138.85,23138.85,23138.85,0.01615961,1,False,0,none
BTCUSDC,2023-03-01T00:09:00.0000000Z,2023-03-01T00:10:00.0000000Z,23138.85,23138.85,23138.85,23138.85,0.0,0,True,3,LOCF
BTCUSDC,2023-03-01T00:10:00.0000000Z,2023-03-01T00:11:00.0000000Z,23138.85,23138.85,23138.85,23138.85,0.0,0,True,3,LOCF
BTCUSDC,2023-03-01T00:11:00.0000000Z,2023-03-01T00:12:00.0000000Z,23138.85,23138.85,23138.85,23138.85,0.0,0,True,3,LOCF
BTCUSDC,2023-03-01T00:12:00.0000000Z,2023-03-01T00:13:00.0000000Z,23136.6,23136.6,23136.6,23136.6,0.00021659,1,False,0,none
BTCUSDC,2023-03-01T00:13:00.0000000Z,2023-03-01T00:14:00.0000000Z,23166.84,23166.84,23166.84,23166.84,0.00319813,1,False,0,none
BTCUSDC,2023-03-01T00:14:00.0000000Z,2023-03-01T00:15:00.0000000Z,23163.32,23163.32,23163.32,23163.32,0.002,1,False,0,none
BTCUSDC,2023-03-01T00:15:00.0000000Z,2023-03-01T00:16:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
BTCUSDC,2023-03-01T00:16:00.0000000Z,2023-03-01T00:17:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
BTCUSDC,2023-03-01T00:17:00.0000000Z,2023-03-01T00:18:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
BTCUSDC,2023-03-01T00:18:00.0000000Z,2023-03-01T00:19:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
BTCUSDC,2023-03-01T00:19:00.0000000Z,2023-03-01T00:20:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
BTCUSDC,2023-03-01T00:20:00.0000000Z,2023-03-01T00:21:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
BTCUSDC,2023-03-01T00:21:00.0000000Z,2023-03-01T00:22:00.0000000Z,23153.067499581248,23153.450000444365,23152.87624992628,23153.258749962486,0.0,0,True,7,ETS
