symbol,time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count,imputed,gap_size,impute_method
BTCUSD,2023-03-01T00:00:00.0000000Z,2023-03-01T00:01:00.0000000Z,23133.2,23146.4,23133.2,23146.0,0.2683339,12,False,0,none
BTCUSD,2023-03-01T00:01:00.0000000Z,2023-03-01T00:02:00.0000000Z,23146.0,23152.3,23144.7,23144.7,0.02629268,14,False,0,none
BTCUSD,2023-03-01T00:02:00.0000000Z,2023-03-01T00:03:00.0000000Z,23144.9,23157.0,23144.9,23157.0,0.25546033,14,False,0,none
BTCUSD,2023-03-01T00:03:00.0000000Z,2023-03-01T00:04:00.0000000Z,23157.3,23158.1,23157.3,23158.1,0.05633747,9,False,0,none
BTCUSD,2023-03-01T00:04:00.0000000Z,2023-03-01T00:05:00.0000000Z,23158.1,23171.6,23158.1,23171.6,1.71108762,48,False,0,none
BTCUSD,2023-03-01T00:05:00.0000000Z,2023-03-01T00:06:00.0000000Z,23171.6,23182.2,23171.6,23181.9,0.14844364,16,False,0,none
BTCUSD,2023-03-01T00:06:00.0000000Z,2023-03-01T00:07:00.0000000Z,23181.8,23181.8,23165.4,23165.4,0.06136641,15,False,0,none
BTCUSD,2023-03-01T00:07:00.0000000Z,2023-03-01T00:08:00.0000000Z,23165.3,23165.4,23153.2,23153.3,1.4966795,65,False,0,none
BTCUSD,2023-03-01T00:08:00.0000000Z,2023-03-01T00:09:00.0000000Z,23153.3,23156.8,23144.8,23144.8,0.95624115,26,False,0,none
BTCUSD,2023-03-01T00:09:00.0000000Z,2023-03-01T00:10:00.0000000Z,23144.7,23144.7,23128.6,23128.9,0.18515614,21,False,0,none
BTCUSD,2023-03-01T00:10:00.0000000Z,2023-03-01T00:11:00.0000000Z,23129.0,23130.0,23129.0,23130.0,0.17940136,15,False,0,none
BTCUSD,2023-03-01T00:11:00.0000000Z,2023-03-01T00:12:00.0000000Z,23130.0,23130.0,23118.6,23129.8,5.27344165,30,False,0,none
BTCUSD,2023-03-01T00:12:00.0000000Z,2023-03-01T00:13:00.0000000Z,23129.8,23163.6,23129.8,23163.6,2.42560342,37,False,0,none
BTCUSD,2023-03-01T00:13:00.0000000Z,2023-03-01T00:14:00.0000000Z,23163.9,23171.1,23163.9,23168.7,0.11680065,8,False,0,none
BTCUSD,2023-03-01T00:14:00.0000000Z,2023-03-01T00:15:00.0000000Z,23171.2,23171.2,23156.8,23160.8,0.85335887,32,False,0,none
BTCUSD,2023-03-01T00:15:00.0000000Z,2023-03-01T00:16:00.0000000Z,23160.8,23171.3,23160.8,23171.3,0.51560449,15,False,0,none
BTCUSD,2023-03-01T00:16:00.0000000Z,2023-03-01T00:17:00.0000000Z,23171.0,23171.0,23171.0,23171.0,0.00678638,4,False,0,none
BTCUSD,2023-03-01T00:17:00.0000000Z,2023-03-01T00:18:00.0000000Z,23171.0,23180.8,23171.0,23180.5,0.28997816,20,False,0,none
BTCUSD,2023-03-01T00:18:00.0000000Z,2023-03-01T00:19:00.0000000Z,23180.5,23180.6,23180.5,23180.5,0.01923229,7,False,0,none
BTCUSD,2023-03-01T00:19:00.0000000Z,2023-03-01T00:20:00.0000000Z,23180.4,23183.6,23180.4,23182.5,0.31298071,14,False,0,none
BTCUSD,2023-03-01T00:20:00.0000000Z,2023-03-01T00:21:00.0000000Z,23183.1,23183.1,23177.2,23178.0,1.47821304,20,False,0,none
BTCUSD,2023-03-01T00:21:00.0000000Z,2023-03-01T00:22:00.0000000Z,23178.0,23192.8,23178.0,23191.7,0.34451928,29,False,0,none
BTCUSD,2023-03-01T00:22:00.0000000Z,2023-03-01T00:23:00.0000000Z,23191.6,23216.7,23191.6,23201.0,0.56011434,51,False,0,none
BTCUSD,2023-03-01T00:23:00.0000000Z,2023-03-01T00:24:00.0000000Z,23202.2,23202.2,23201.7,23201.8,0.00406527,7,False,0,none
BTCUSD,2023-03-01T00:24:00.0000000Z,2023-03-01T00:25:00.0000000Z,23201.7,23213.3,23201.7,23212.3,0.15836473,21,False,0,none
BTCUSD,2023-03-01T00:25:00.0000000Z,2023-03-01T00:26:00.0000000Z,23212.3,23212.3,23201.0,23201.0,0.8464256,38,False,0,none
BTCUSD,2023-03-01T00:26:00.0000000Z,2023-03-01T00:27:00.0000000Z,23201.1,23201.1,23201.1,23201.1,0.00365659,6,False,0,none
BTCUSD,2023-03-01T00:27:00.0000000Z,2023-03-01T00:28:00.0000000Z,23201.1,23201.1,23201.0,23201.0,0.02710158,6,False,0,none
BTCUSD,2023-03-01T00:28:00.0000000Z,2023-03-01T00:29:00.0000000Z,23201.1,23201.1,23200.8,23200.9,0.43647801,25,False,0,none
BTCUSD,2023-03-01T00:29:00.0000000Z,2023-03-01T00:30:00.0000000Z,23200.8,23200.8,23189.8,23189.9,0.77910791,39,False,0,none
BTCUSD,2023-03-01T00:30:00.0000000Z,2023-03-01T00:31:00.0000000Z,23189.8,23189.8,23178.3,23178.5,0.32387139,13,False,0,none
BTCUSD,2023-03-01T00:31:00.0000000Z,2023-03-01T00:32:00.0000000Z,23178.6,23188.1,23178.6,23187.1,1.31529598,20,False,0,none
BTCUSD,2023-03-01T00:32:00.0000000Z,2023-03-01T00:33:00.0000000Z,23187.1,23214.5,23187.1,23196.8,6.64406709,70,False,0,none
BTCUSD,2023-03-01T00:33:00.0000000Z,2023-03-01T00:34:00.0000000Z,23214.5,23215.6,23214.5,23215.4,0.08440396,16,False,0,none
BTCUSD,2023-03-01T00:34:00.0000000Z,2023-03-01T00:35:00.0000000Z,23215.5,23215.5,23202.0,23202.3,0.27842044,14,False,0,none
BTCUSD,2023-03-01T00:35:00.0000000Z,2023-03-01T00:36:00.0000000Z,23202.3,23202.6,23202.3,23202.6,0.04379348,6,False,0,none
BTCUSD,2023-03-01T00:36:00.0000000Z,2023-03-01T00:37:00.0000000Z,23202.6,23202.6,23188.7,23188.7,0.31231272,13,False,0,none
BTCUSD,2023-03-01T00:37:00.0000000Z,2023-03-01T00:38:00.0000000Z,23188.7,23196.8,23188.7,23194.6,0.29242491,20,False,0,none
BTCUSD,2023-03-01T00:38:00.0000000Z,2023-03-01T00:39:00.0000000Z,23194.7,23201.1,23194.7,23201.1,0.32378189,11,False,0,none
BTCUSD,2023-03-01T00:39:00.0000000Z,2023-03-01T00:40:00.0000000Z,23201.2,23201.2,23201.2,23201.2,8.06250223,21,False,0,none
BTCUSD,2023-03-01T00:40:00.0000000Z,2023-03-01T00:41:00.0000000Z,23201.2,23201.2,23196.2,23196.2,0.0026656,5,False,0,none
BTCUSD,2023-03-01T00:41:00.0000000Z,2023-03-01T00:42:00.0000000Z,23194.8,23194.8,23194.7,23194.7,0.51491328,12,False,0,none
BTCUSD,2023-03-01T00:42:00.0000000Z,2023-03-01T00:43:00.0000000Z,23194.8,23196.2,23194.8,23196.2,0.00337683,8,False,0,none
BTCUSD,2023-03-01T00:43:00.0000000Z,2023-03-01T00:44:00.0000000Z,23196.2,23196.2,23171.3,23171.3,1.57302927,62,False,0,none
BTCUSD,2023-03-01T00:44:00.0000000Z,2023-03-01T00:45:00.0000000Z,23171.2,23171.2,23163.4,23163.5,0.3992521,71,False,0,none
BTCUSD,2023-03-01T00:45:00.0000000Z,2023-03-01T00:46:00.0000000Z,23163.4,23163.4,23152.9,23153.0,0.17293219,35,False,0,none
BTCUSD,2023-03-01T00:46:00.0000000Z,2023-03-01T00:47:00.0000000Z,23153.0,23153.0,23152.9,23153.0,0.17437646,9,False,0,none
BTCUSD,2023-03-01T00:47:00.0000000Z,2023-03-01T00:48:00.0000000Z,23153.0,23153.0,23149.4,23149.5,0.39636539,25,False,0,none
