symbol,time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count,imputed,gap_size,impute_method
USDTUSD,2023-03-01T00:00:00.0000000Z,2023-03-01T00:01:00.0000000Z,1.0001,1.0001,1.0001,1.0001,2519.029131,6,False,0,none
USDTUSD,2023-03-01T00:01:00.0000000Z,2023-03-01T00:02:00.0000000Z,1.0001,1.0001,1.0001,1.0001,455.97864,1,False,0,none
USDTUSD,2023-03-01T00:02:00.0000000Z,2023-03-01T00:03:00.0000000Z,1.0001,1.0002,1.0001,1.0002,2469.693509,11,False,0,none
USDTUSD,2023-03-01T00:03:00.0000000Z,2023-03-01T00:04:00.0000000Z,1.0001,1.0002,1.0001,1.0001,1271.226841,4,False,0,none
USDTUSD,2023-03-01T00:04:00.0000000Z,2023-03-01T00:05:00.0000000Z,1.0002,1.0002,1.0,1.0001,27249.46952,20,False,0,none
USDTUSD,2023-03-01T00:05:00.0000000Z,2023-03-01T00:06:00.0000000Z,1.0001,1.0001,1.0,1.0001,10024.14368,23,False,0,none
USDTUSD,2023-03-01T00:06:00.0000000Z,2023-03-01T00:07:00.0000000Z,1.0001,1.0001,1.0,1.0001,2313.57418,10,False,0,none
USDTUSD,2023-03-01T00:07:00.0000000Z,2023-03-01T00:08:00.0000000Z,1.0,1.0,1.0,1.0,402.4809,1,False,0,none
USDTUSD,2023-03-01T00:08:00.0000000Z,2023-03-01T00:09:00.0000000Z,1.0001,1.0001,1.0,1.0,5343.857669,5,False,0,none
USDTUSD,2023-03-01T00:09:00.0000000Z,2023-03-01T00:10:00.0000000Z,1.0,1.0001,1.0,1.0001,71111.63334,17,False,0,none
USDTUSD,2023-03-01T00:10:00.0000000Z,2023-03-01T00:11:00.0000000Z,1.0001,1.0002,1.0001,1.0001,4198.214722,8,False,0,none
USDTUSD,2023-03-01T00:11:00.0000000Z,2023-03-01T00:12:00.0000000Z,1.0001,1.0001,1.0001,1.0001,42585.24757,22,False,0,none
USDTUSD,2023-03-01T00:12:00.0000000Z,2023-03-01T00:13:00.0000000Z,1.0002,1.0002,1.0001,1.0002,3723.656653,12,False,0,none
USDTUSD,2023-03-01T00:13:00.0000000Z,2023-03-01T00:14:00.0000000Z,1.0001,1.0002,1.0001,1.0001,41647.9854,16,False,0,none
USDTUSD,2023-03-01T00:14:00.0000000Z,2023-03-01T00:15:00.0000000Z,1.0001,1.0002,1.0001,1.0002,745.935706,2,False,0,none
USDTUSD,2023-03-01T00:15:00.0000000Z,2023-03-01T00:16:00.0000000Z,1.0002,1.0002,1.0001,1.0001,680.354101,2,False,0,none
USDTUSD,2023-03-01T00:16:00.0000000Z,2023-03-01T00:17:00.0000000Z,1.0001,1.0002,1.0001,1.0002,202.4585637,3,False,0,none
USDTUSD,2023-03-01T00:17:00.0000000Z,2023-03-01T00:18:00.0000000Z,1.0001,1.0002,1.0001,1.0002,346.831895,4,False,0,none
USDTUSD,2023-03-01T00:18:00.0000000Z,2023-03-01T00:19:00.0000000Z,1.0001,1.0002,1.0001,1.0002,8110.4014,4,False,0,none
USDTUSD,2023-03-01T00:19:00.0000000Z,2023-03-01T00:20:00.0000000Z,1.0002,1.0002,1.0001,1.0001,2163.646495,4,False,0,none
USDTUSD,2023-03-01T00:20:00.0000000Z,2023-03-01T00:21:00.0000000Z,1.0001,1.0002,1.0001,1.0002,1610.216513,7,False,0,none
USDTUSD,2023-03-01T00:21:00.0000000Z,2023-03-01T00:22:00.0000000Z,1.0001,1.0002,1.0001,1.0001,11275.70694,7,False,0,none
USDTUSD,2023-03-01T00:22:00.0000000Z,2023-03-01T00:23:00.0000000Z,1.0001,1.0002,1.0001,1.0001,3199.811896,11,False,0,none
